,politik,finland,stat,finsk,finne,nation,folk,gräns,modern,ryss,rike,författning,grundlag,fred,ryssland,makt,representation,styre,regel,rättighet,monark,regent,provins,system,krig,land,stånd,regeringsform,regering,riksdag,parlament,lag,kung,kejsare,senat,medborgare,historia,begrepp,europeisk,universitet,sekel,århundrade,förändring,byta,historisk,swensk,inre,inrikes,europa,tidig,fråga,delta,ställning,bilda,form,del,skilja,dela,hertig,offentlig,allmän,tid,period,era,språk,olik,annorlunda,stötta,stödja,styresman,publicera,princip,förbi,förra,föreställning,petersburg,akademi,samfund,annan,skapa,artikel,trakt,medlem,gemensam,ämbetsman,officiell,förena,jämförelse,general,allmoge,valuta,sedel,mynt,penning
politik,1.0,0.25596219301223755,0.4247800409793854,0.35685601830482483,0.3733125329017639,0.5551310777664185,0.4568352997303009,0.5222862362861633,0.2541348934173584,0.46748822927474976,0.4123598039150238,0.4804753363132477,0.7540215849876404,0.34133532643318176,0.5156255960464478,0.7212830781936646,0.4587308168411255,0.6527549028396606,0.7080515623092651,0.4804900288581848,0.6665608286857605,0.6223869919776917,0.4759214520454407,0.6612275838851929,0.45767995715141296,0.3018149435520172,0.3041592836380005,0.7199940085411072,0.4930180609226227,0.39297133684158325,0.5606939196586609,0.44440552592277527,0.5210641622543335,0.4124071002006531,0.6919592022895813,0.5220006108283997,0.41423824429512024,0.7181432247161865,0.7138901948928833,0.7440760135650635,0.7531977295875549,0.7108089327812195,0.48327285051345825,0.3617580235004425,0.5522788166999817,0.48673325777053833,0.47451725602149963,0.3941646218299866,0.45523861050605774,0.4964086413383484,0.5659831762313843,0.4253813326358795,0.47030770778656006,0.8035706877708435,0.44255155324935913,0.3323306739330292,0.5534999966621399,0.43193319439888,0.321330726146698,0.5766923427581787,0.3651179373264313,0.2480541616678238,0.8018086552619934,0.6278936266899109,0.3660423159599304,0.6340108513832092,0.6270100474357605,0.8079637289047241,0.5295906662940979,0.827839732170105,0.6495926976203918,0.8509685397148132,0.32171985507011414,0.2974820137023926,0.625186026096344,0.3872765004634857,0.7182890772819519,0.6805236339569092,0.42967233061790466,0.8030002117156982,0.4918693006038666,0.23823842406272888,0.6334412693977356,0.6095021367073059,0.4334928095340729,0.645256519317627,0.4837839603424072,0.6979636549949646,0.31074899435043335,0.500702977180481,0.6560699343681335,0.23234014213085175,0.3480808138847351,0.28712818026542664
finland,0.25596219301223755,1.0,0.37527984380722046,0.4402752220630646,0.21799202263355255,0.3439929485321045,0.18622133135795593,0.3858872950077057,0.07062534987926483,0.3667203485965729,0.3309364318847656,0.2616916298866272,0.40007004141807556,0.3559793531894684,0.48331567645072937,0.24517816305160522,0.3306547701358795,0.44107091426849365,0.2576078772544861,0.11153952032327652,0.2601397931575775,0.42758214473724365,0.4731486141681671,0.1975449174642563,0.2941460907459259,0.4481937885284424,0.26095449924468994,0.3834393620491028,0.2870388925075531,0.42774882912635803,0.418233722448349,0.17879995703697205,0.4456539750099182,0.4145410358905792,0.3885800838470459,0.2960644066333771,0.3259936273097992,0.17211170494556427,0.3680904507637024,0.4492460787296295,0.33105042576789856,0.4750303626060486,0.2874910831451416,0.1414596289396286,0.4178652763366699,0.23226428031921387,0.39753779768943787,0.46541330218315125,0.31891676783561707,0.2246047556400299,0.2568039000034332,0.16463440656661987,0.26087793707847595,0.29445916414260864,0.2129814475774765,0.23862582445144653,0.43420514464378357,0.27478334307670593,0.434649795293808,0.3974435329437256,0.2544333040714264,0.21135281026363373,0.41911688446998596,0.30121278762817383,0.23131154477596283,0.12215053290128708,0.2401622086763382,0.4164525866508484,0.2753077745437622,0.3184589445590973,0.45185598731040955,0.27027714252471924,0.37466534972190857,0.2599208652973175,0.29895851016044617,0.6208317875862122,0.43221747875213623,0.20133377611637115,0.26762595772743225,0.21830151975154877,0.3180970549583435,0.3231745660305023,0.30218377709388733,0.2958081364631653,0.422682523727417,0.39471012353897095,0.2894609570503235,0.34616541862487793,0.41155722737312317,0.3595936894416809,0.37128639221191406,0.14792273938655853,0.06504356861114502,0.15141496062278748
stat,0.4247800409793854,0.37527984380722046,1.0,0.330182820558548,0.18197743594646454,0.5199748277664185,0.23091870546340942,0.45496150851249695,0.14438314735889435,0.33981215953826904,0.5554170608520508,0.5102197527885437,0.5498940944671631,0.38640227913856506,0.5845984816551208,0.36968138813972473,0.4223243296146393,0.38892439007759094,0.4604398310184479,0.4532822370529175,0.4203009307384491,0.5049713850021362,0.6042393445968628,0.4311877191066742,0.49123939871788025,0.34524860978126526,0.4022042751312256,0.5286690592765808,0.45885634422302246,0.401670902967453,0.4271135628223419,0.33031874895095825,0.28850093483924866,0.409890741109848,0.4416518211364746,0.42623069882392883,0.3399480879306793,0.2936641275882721,0.43710651993751526,0.49894577264785767,0.428384929895401,0.4122483730316162,0.4298543632030487,0.30284103751182556,0.4104408621788025,0.2346397042274475,0.3492370545864105,0.3402218520641327,0.5449825525283813,0.24883629381656647,0.2767161726951599,0.18918214738368988,0.4211616814136505,0.4242180287837982,0.3509366512298584,0.2870457172393799,0.4759349822998047,0.34641239047050476,0.3642231523990631,0.4287755787372589,0.3556770086288452,0.2464083433151245,0.49968665838241577,0.3241967558860779,0.3388204872608185,0.4057219326496124,0.34986966848373413,0.5026025772094727,0.2697660028934479,0.38641026616096497,0.45732155442237854,0.46545878052711487,0.1930369734764099,0.2103830873966217,0.46405577659606934,0.3201179504394531,0.47619614005088806,0.4533449709415436,0.18707580864429474,0.40075117349624634,0.5504568815231323,0.32228797674179077,0.618072509765625,0.5408547520637512,0.5057006478309631,0.4391954243183136,0.360147088766098,0.4876272678375244,0.31945526599884033,0.4945583641529083,0.44643861055374146,0.33801591396331787,0.34369733929634094,0.29313623905181885
finsk,0.35685601830482483,0.4402752220630646,0.330182820558548,1.0,0.5221428871154785,0.32171112298965454,0.23955193161964417,0.34607774019241333,0.5412995219230652,0.3422277271747589,0.33691608905792236,0.23423099517822266,0.46274706721305847,0.18339377641677856,0.34690529108047485,0.381269633769989,0.3674160838127136,0.6135834455490112,0.2736821174621582,0.26274222135543823,0.22775864601135254,0.25778716802597046,0.33208411931991577,0.39168697595596313,0.2099764496088028,0.3400585949420929,0.29928556084632874,0.4691513180732727,0.19149841368198395,0.2138454169034958,0.24396425485610962,0.2028380036354065,0.28000324964523315,0.20058150589466095,0.3915660083293915,0.20543090999126434,0.3601740598678589,0.3151456415653229,0.4398299753665924,0.4730307161808014,0.37435033917427063,0.4747834801673889,0.3062717318534851,0.44530993700027466,0.5767558813095093,0.48914003372192383,0.2136181890964508,0.4223504662513733,0.28141075372695923,0.2730918526649475,0.24087123572826385,0.09913816303014755,0.3289446532726288,0.42754217982292175,0.4997040033340454,0.2150927484035492,0.37536361813545227,0.19948050379753113,0.22249314188957214,0.41682344675064087,0.18250344693660736,0.1427004486322403,0.5112126469612122,0.3933864235877991,0.5829278230667114,0.3152419924736023,0.20584259927272797,0.4880702495574951,0.4453326463699341,0.38208985328674316,0.4180477261543274,0.4171698987483978,0.21482279896736145,0.09537026286125183,0.2668129801750183,0.3828222155570984,0.5009331107139587,0.30775102972984314,0.20285379886627197,0.40560147166252136,0.3196462392807007,0.25891393423080444,0.38093337416648865,0.21649624407291412,0.3661068081855774,0.46212705969810486,0.23605690896511078,0.325458824634552,0.25072935223579407,0.2832585573196411,0.4271444082260132,0.20774449408054352,0.33255717158317566,0.15892131626605988
finne,0.3733125329017639,0.21799202263355255,0.18197743594646454,0.5221428871154785,1.0,0.25450804829597473,0.14527414739131927,0.33064004778862,0.38364532589912415,0.2744254767894745,0.254960834980011,0.14732851088047028,0.3981936573982239,0.20129165053367615,0.28321248292922974,0.38547712564468384,0.21604984998703003,0.46078920364379883,0.23902232944965363,0.19879701733589172,0.17974068224430084,0.34026020765304565,0.2510034441947937,0.24336564540863037,0.22370456159114838,0.17102457582950592,0.28453370928764343,0.27793848514556885,0.20770515501499176,0.2696026861667633,0.22896961867809296,0.13758885860443115,0.20849183201789856,0.10489044338464737,0.3208792209625244,0.20869219303131104,0.28511351346969604,0.2609052360057831,0.3605119287967682,0.32269737124443054,0.3324625790119171,0.387398898601532,0.22743110358715057,0.3195207715034485,0.42517226934432983,0.44525423645973206,0.12056006491184235,0.3216058015823364,0.22006277740001678,0.1952737420797348,0.17914645373821259,0.025147708132863045,0.23043200373649597,0.4069781005382538,0.39024341106414795,0.23335522413253784,0.3081454336643219,0.1880626380443573,0.055988624691963196,0.2600378394126892,0.14403727650642395,0.10083581507205963,0.4263441860675812,0.3712320029735565,0.2714081108570099,0.24102948606014252,0.1895207315683365,0.3461551368236542,0.3708692789077759,0.3225483298301697,0.30006447434425354,0.3582465648651123,0.2384367734193802,0.1161617860198021,0.25261902809143066,0.30883675813674927,0.3798946738243103,0.29475441575050354,0.14695924520492554,0.4199276566505432,0.19459180533885956,0.07132836431264877,0.319340318441391,0.2875770330429077,0.20943225920200348,0.37973567843437195,0.25121334195137024,0.3122677803039551,0.13958096504211426,0.17958131432533264,0.31228113174438477,0.10433497279882431,0.18811646103858948,0.07473452389240265
nation,0.5551310777664185,0.3439929485321045,0.5199748277664185,0.32171112298965454,0.25450804829597473,0.9999999403953552,0.35337817668914795,0.4918764531612396,0.1372712403535843,0.3809047341346741,0.49959471821784973,0.4882661998271942,0.5416969060897827,0.2950950860977173,0.5149255990982056,0.43632835149765015,0.38346484303474426,0.3774622678756714,0.456582248210907,0.46202296018600464,0.45194631814956665,0.5752784609794617,0.4949822425842285,0.4658634066581726,0.4533034861087799,0.370810329914093,0.3041744530200958,0.5312432646751404,0.5043970942497253,0.36699122190475464,0.47074687480926514,0.2945310175418854,0.3743359446525574,0.4293755292892456,0.48350149393081665,0.5389459729194641,0.3656814694404602,0.49055036902427673,0.5713295340538025,0.5303681492805481,0.5011368989944458,0.4679996073246002,0.39721688628196716,0.22053445875644684,0.39694151282310486,0.2835412323474884,0.3668557405471802,0.3455859422683716,0.49525773525238037,0.2787722647190094,0.3048239052295685,0.2605277895927429,0.4064610004425049,0.5222247242927551,0.40136009454727173,0.30636531114578247,0.4576977789402008,0.20571452379226685,0.34984543919563293,0.45840153098106384,0.37340083718299866,0.20558394491672516,0.4832690358161926,0.27521026134490967,0.3815511465072632,0.44223952293395996,0.4065047800540924,0.5689012408256531,0.3536102771759033,0.5608839392662048,0.4375365078449249,0.5615996718406677,0.1566898226737976,0.18473662436008453,0.5098837018013,0.34865978360176086,0.45755958557128906,0.5258275270462036,0.2551988661289215,0.4652768671512604,0.5047438144683838,0.14074364304542542,0.565131425857544,0.5131336450576782,0.4696601331233978,0.4305284917354584,0.44183918833732605,0.44313672184944153,0.31009534001350403,0.5176952481269836,0.43290892243385315,0.17280294001102448,0.31014135479927063,0.1743234097957611
folk,0.4568352997303009,0.18622133135795593,0.23091870546340942,0.23955193161964417,0.14527414739131927,0.35337817668914795,1.0,0.30456286668777466,0.1301974654197693,0.32998067140579224,0.2226063758134842,0.25039517879486084,0.3343513011932373,0.16066184639930725,0.18177677690982819,0.3244397044181824,0.23683425784111023,0.34203413128852844,0.3290988504886627,0.19520696997642517,0.28314268589019775,0.39611750841140747,0.26983514428138733,0.30746006965637207,0.27258536219596863,0.2573350965976715,0.11423321813344955,0.37988728284835815,0.3733619749546051,0.1391610950231552,0.2597234845161438,0.22786536812782288,0.3302185535430908,0.3227740526199341,0.2931787371635437,0.4058802127838135,0.1670251041650772,0.3869819939136505,0.3844740688800812,0.3562479317188263,0.38850584626197815,0.3613766133785248,0.174950510263443,0.22099848091602325,0.1725502759218216,0.15388411283493042,0.3287406861782074,0.1548687219619751,0.2900029122829437,0.2217581868171692,0.14281632006168365,0.22731256484985352,0.25143879652023315,0.44707971811294556,0.33300402760505676,0.10008230805397034,0.33580946922302246,0.23383505642414093,0.3226572275161743,0.255169540643692,0.22983510792255402,0.13838252425193787,0.40777507424354553,0.2350178360939026,0.29519280791282654,0.33460533618927,0.20527349412441254,0.3966790437698364,0.2916772663593292,0.4199426472187042,0.28030285239219666,0.4216267466545105,0.1779562085866928,0.14290612936019897,0.33193373680114746,0.1959553211927414,0.31919512152671814,0.33122381567955017,0.2786119282245636,0.4060288667678833,0.173789381980896,0.2368697077035904,0.3719298839569092,0.30298715829849243,0.35314810276031494,0.3061422109603882,0.22860468924045563,0.34763941168785095,0.19730833172798157,0.27436965703964233,0.2936200797557831,0.08589198440313339,0.2543282210826874,0.22310751676559448
gräns,0.5222862362861633,0.3858872950077057,0.45496150851249695,0.34607774019241333,0.33064004778862,0.4918764531612396,0.30456286668777466,1.0,0.11068178713321686,0.6637715101242065,0.48250675201416016,0.42072293162345886,0.6292622089385986,0.4783276617527008,0.6689699292182922,0.483294814825058,0.28141599893569946,0.4920082986354828,0.4308731257915497,0.31498268246650696,0.5540727376937866,0.6204667687416077,0.675043523311615,0.6146618127822876,0.5070764422416687,0.38173654675483704,0.28224900364875793,0.5560280680656433,0.4951387047767639,0.4341248869895935,0.5984063744544983,0.26937833428382874,0.34585392475128174,0.5091919302940369,0.6280516386032104,0.4334363639354706,0.31729942560195923,0.44732242822647095,0.5901877284049988,0.5743411183357239,0.5327379703521729,0.565727174282074,0.40715229511260986,0.2511376142501831,0.38210394978523254,0.311667263507843,0.42824020981788635,0.3376500606536865,0.5158976912498474,0.47309058904647827,0.2794543206691742,0.21603822708129883,0.6068931221961975,0.5136058330535889,0.49229755997657776,0.3213503658771515,0.5843476057052612,0.28917747735977173,0.4447821080684662,0.4758995473384857,0.2955092489719391,0.24949045479297638,0.5907517671585083,0.47425979375839233,0.3361218571662903,0.46085894107818604,0.41391241550445557,0.6967709064483643,0.5316988229751587,0.5126245617866516,0.5101195573806763,0.5202393531799316,0.4911145865917206,0.17795369029045105,0.5520351529121399,0.6459646821022034,0.5499557256698608,0.39888399839401245,0.26281145215034485,0.5152618885040283,0.45316392183303833,0.3649383783340454,0.4227224290370941,0.4972154498100281,0.4022930860519409,0.5959054231643677,0.49699699878692627,0.5258704423904419,0.5694878101348877,0.516165554523468,0.412177711725235,0.1119849681854248,0.3125118911266327,0.19515512883663177
modern,0.2541348934173584,0.07062534987926483,0.14438314735889435,0.5412995219230652,0.38364532589912415,0.1372712403535843,0.1301974654197693,0.11068178713321686,0.9999999403953552,0.23753522336483002,0.07275135815143585,0.15961366891860962,0.32773035764694214,0.0595245398581028,0.15195265412330627,0.28569352626800537,0.3437677323818207,0.5279924869537354,0.2004898190498352,0.09657527506351471,0.23210011422634125,0.06288136541843414,0.05890955775976181,0.3903006613254547,0.10685129463672638,0.19308625161647797,0.17882166802883148,0.337448388338089,0.007663264870643616,0.13700224459171295,0.1871299147605896,0.10906017571687698,0.1142273023724556,0.10448480397462845,0.2997667193412781,0.07161441445350647,0.25849223136901855,0.2429531365633011,0.3140769600868225,0.3125264644622803,0.3206746578216553,0.30251598358154297,0.3460243046283722,0.5021157264709473,0.39269694685935974,0.32725808024406433,0.16842453181743622,0.28389477729797363,0.20959937572479248,0.22155264019966125,0.18395452201366425,0.14314508438110352,0.21884848177433014,0.3547138571739197,0.4585595428943634,0.1454286426305771,0.20197179913520813,0.1385873705148697,0.02751629799604416,0.292061448097229,0.2327278107404709,0.1080312728881836,0.40132030844688416,0.30659812688827515,0.3338444232940674,0.2938380837440491,0.16667671501636505,0.35040950775146484,0.30076590180397034,0.18503215909004211,0.23942209780216217,0.3292328119277954,0.09534362703561783,0.11593900620937347,0.18835768103599548,0.17341731488704681,0.35170358419418335,0.23259322345256805,0.1476331651210785,0.34387192130088806,0.2160627543926239,0.1738394945859909,0.24514639377593994,0.1744978129863739,0.07960245013237,0.3310963213443756,0.10149850696325302,0.21961615979671478,0.11652358621358871,0.005316825583577156,0.3264511823654175,0.11326473951339722,0.18905530869960785,0.12864966690540314
ryss,0.46748822927474976,0.3667203485965729,0.33981215953826904,0.3422277271747589,0.2744254767894745,0.3809047341346741,0.32998067140579224,0.6637715101242065,0.23753522336483002,0.9999999403953552,0.32809242606163025,0.3448227643966675,0.631543755531311,0.3727639615535736,0.5814351439476013,0.5086421966552734,0.3570091128349304,0.5609961748123169,0.4007394015789032,0.17296651005744934,0.5467406511306763,0.5617574453353882,0.6983350515365601,0.5835760831832886,0.49383658170700073,0.3702670633792877,0.27368608117103577,0.6027823090553284,0.47868409752845764,0.41052499413490295,0.5797756314277649,0.19989730417728424,0.41344788670539856,0.5375969409942627,0.6888594031333923,0.28786689043045044,0.10720571875572205,0.4305357336997986,0.7106142044067383,0.5928237438201904,0.6380732655525208,0.6269274353981018,0.4694540500640869,0.34712815284729004,0.40930041670799255,0.29022255539894104,0.4189055860042572,0.41241833567619324,0.5630595684051514,0.5153788924217224,0.3292509913444519,0.24219727516174316,0.6248745322227478,0.5692940354347229,0.49403294920921326,0.28046679496765137,0.5362951159477234,0.32243895530700684,0.4773677885532379,0.48802924156188965,0.28081780672073364,0.3240010440349579,0.6294007301330566,0.47686102986335754,0.29592934250831604,0.470572292804718,0.3808686435222626,0.6523420810699463,0.6246090531349182,0.501594603061676,0.5440762639045715,0.49630334973335266,0.5553532838821411,0.2730257511138916,0.552132785320282,0.6398638486862183,0.5584080219268799,0.38911065459251404,0.28133803606033325,0.5138912796974182,0.4100790321826935,0.4174155592918396,0.33720868825912476,0.4116857945919037,0.3713385760784149,0.6285398006439209,0.507988452911377,0.561591386795044,0.5536087155342102,0.30594250559806824,0.4749355912208557,0.22591528296470642,0.30885016918182373,0.3662089705467224
