,politiikka,valtioviisaus,suuriruhtinaskunta,ruhtinaskunta,herttuakunta,suomi,valtio,osavaltio,suomalainen,kansakunta,kansa,raja,nyky,venäjä,venäläinen,keisarikunta,valtakunta,perustuslaki,valtiosääntö,rauha,maakunta,ruotsi,dynastinen,yhteiskunta,yhteiskunnallinen,sosiaalinen,kulttuuri,sivistys,valta,voima,mahti,toimivalta,oikeus,suurvalta,edustajisto,edustus,kansanedustus,hallitsija,hallinto,pohjoismainen,yhteisö,oikeudet,keisarilinen,monarkki,valtias,suvereeni,itsenäinen,kuninkaallinen,provinssi,lääni,koskemattomuus,loukkaamattomuus,vaihtoehto,järjestelmä,suvereenius,sota,kuningaskunta,isänmaa,valtiosääty,sääty,valtiomuoto,hallintojärjestelmä,hallitus,valtionjohto,ministeristö,eduskunta,parlamentti,valtiopäivät,laki,sääntö,rajaseutu,tasa-arvo,liberaali,kuningas,tsaari,keisari,senaatti,alamainen,kansalainen,sopimus,demokratia,historia,konsepti,euroopan,eurooppalainen,yliopisto,vuosisata,luku,maa-alue,alue,seutu,muuttaa,vaihtaa,historiallinen,historian-,ruotsalainen,sisäinen,sisä-,kotimaan,kotimainen,eurooppa,käsitellä,tarkastella,keskustella,aikainen,varhainen,varhais,alku,kysymys,osallistua,status,asema,muodostaa,muodostua,muotoutua,syntyä,perustaa,ala,traktaatti,osa,kolkka,kulmakunta,kunta,erottaa,erkaantua,jakautua,jakaa,herttua,ihminen,ihmis-,inhimillinen,julkinen,yleinen,kehittynyt,edistynyt,korkeatasoinen,retoriikka,puhe,tarkoitushakuinen,aika,ajanjakso,aikakausi,ajankohta,hetki,kiisttanalainen,riitainen,riidanalainen,kieli,aikaväli,kausi,vaihe,periodi,eri,erilainen,kannattaa,tukea,avustaa,rahoittaa,yhdistää,liittää,assosioida,vastalause,mielenilmaus,lausunto,arkisto,arkistoida,historiankirjoitus,johtaja,vallanpitäjä,irrottaa,irtautua,hallinnallinen,tiede,tuottaa,aiheuttaa,synnyttää,esittää,sanomalehti,lehti,riski,vaara,uhka,historioitsija,historiankirjoittaja,julkaista,painattaa,yhteistoiminta,yhteistyö,komento,hallitusaika,määräys,päätös,ratkaisu,periaate,moraali,keskiaika,vanha,entinen,aikaisempi,mobilisaatio,luonto,luonne,laatu,älyllinen,intellektuelli,älykkö,idea,käsitys,mielikuva,paikallinen,paikallis-,alueellinen,pietari,oppilaitos,koulu,akatemia,eheys,luoda,luovutettu,luovuttaa,artikkeli,kirjoitus,artikla,pykälä,res publika,karjalainen,jäsen,keski-,keskus-,keskitetty,hallitusmuoto,virallinen,muodollinen,virkamies,myytti,uskomus,intressi,etu,hyöty,napoleon,yhdistyä,vertailu,yleis-,kenraali,neuvotella,asukas,raja-,kartta,skandinavia,puolustaa,suojella,talous,maantieteellinen,yhteys,yksimielisyys,raha,valuutta,markka,kruunu,kansallinen,itsellisyys,agitatsiooni,itsemääräys,year
1862,0,0,0,0,5,1383,99,0,2057,296,3887,305,15,51,74,67,212,180,2,381,599,663,0,0,0,0,0,10,258,289,43,0,2131,0,0,0,0,95,47,0,1,0,0,0,9,0,61,80,0,2934,0,0,0,0,0,654,15,426,2,844,0,0,2179,0,25,15,24,4,1572,649,2,0,0,626,21,597,1018,525,240,1,0,625,0,0,1,369,46,589,0,33,370,964,15,86,0,687,1,0,0,37,0,7,155,417,80,3,0,990,2068,0,0,125,31,46,0,659,464,535,0,3410,27,6,308,70,4,22,1118,36,2328,0,9,850,1187,0,0,0,0,1232,0,5983,1,104,0,450,0,18,3,2932,0,154,57,0,971,100,209,628,0,0,247,165,0,1,0,30,12,0,0,233,0,0,1,0,128,466,0,172,192,930,1039,3,112,21,7,0,138,72,0,3,14,0,411,970,6,0,0,11,468,1532,0,0,735,48,674,2,0,0,0,151,0,5,0,1,0,138,2323,13,1,362,0,0,0,1076,0,114,0,40,1466,0,0,0,35,76,5,159,0,3,52,611,840,0,191,0,0,113,3,536,0,131,0,200,193,178,1,364,26,2495,1,1040,789,297,0,0,0,1862
1863,0,2,3,1,25,2192,221,0,3419,404,5235,439,29,129,378,78,317,249,0,699,579,1047,0,14,1,0,0,22,556,425,53,0,2746,0,0,42,0,255,127,0,2,0,0,0,13,0,106,97,0,3232,2,0,2,0,0,1571,68,364,7,2978,0,0,3022,0,54,94,32,115,1886,690,1,1,21,1200,46,1838,1376,629,276,0,0,736,4,0,19,439,64,820,3,60,483,1194,30,182,0,1360,4,0,0,48,0,13,201,503,105,6,0,1350,1779,0,1,202,39,72,0,1121,491,648,0,3956,20,2,764,197,3,21,1670,145,2795,0,13,980,1898,0,0,0,0,1467,0,7401,0,105,0,581,0,19,3,4197,0,174,51,0,903,96,346,842,0,0,469,187,0,15,0,125,36,0,0,255,0,2,4,0,177,759,0,234,335,1310,2078,6,119,26,8,0,232,186,0,1,31,4,487,1402,4,0,0,12,655,1743,0,0,702,102,489,1,0,0,0,229,1,15,0,0,0,173,2429,42,0,456,0,3,0,1429,1,159,0,47,2051,0,0,0,114,156,0,279,0,0,63,971,981,0,207,0,0,377,14,475,0,170,0,341,189,211,15,603,45,2604,0,3837,1036,456,0,0,0,1863
1864,0,0,2,1,111,1908,248,0,3455,295,5348,598,49,103,169,70,421,140,0,984,532,946,0,17,4,0,0,49,741,734,78,0,2890,0,0,12,0,154,152,0,21,0,0,0,9,0,110,165,0,3696,0,0,0,0,0,1926,19,442,4,3567,0,0,2914,0,72,64,110,35,2145,1141,1,0,4,1043,70,1141,1106,817,275,2,0,1062,3,0,8,582,123,1137,0,65,617,1492,35,344,0,1191,0,0,0,37,0,138,191,538,125,8,0,1910,2008,3,1,269,32,61,0,1206,637,1073,0,5166,21,5,723,245,6,21,1899,187,3761,0,9,1111,2095,0,0,0,0,1540,0,8944,0,166,0,563,0,30,2,4287,0,218,102,0,1462,184,300,2126,1,1,553,268,0,17,0,1095,35,0,0,381,2,3,3,0,293,871,0,221,320,997,2083,3,180,27,12,0,267,239,0,0,26,2,884,2131,7,2,0,22,866,2280,0,0,1075,105,710,1,0,0,3,228,0,15,0,0,0,194,3416,95,0,613,0,4,10,1601,0,234,0,32,2234,0,0,0,48,107,4,291,0,0,77,940,890,0,522,1,0,384,6,707,0,294,0,321,287,332,12,949,57,3595,4,7854,639,409,0,0,0,1864
1865,0,0,1,19,91,1769,206,0,3458,95,4418,425,37,110,208,140,336,237,0,801,863,712,1,31,37,0,0,16,445,508,82,0,2997,0,0,10,0,225,125,0,6,0,0,19,6,0,94,177,0,4180,1,0,0,12,0,1293,46,275,0,999,0,0,3322,0,208,188,177,1,1753,914,4,0,2,1169,71,1199,1392,442,360,1,0,1187,5,0,33,610,65,960,0,100,674,1551,31,170,0,1378,5,0,0,103,0,14,129,511,126,8,0,1953,1865,1,2,226,72,95,4,1294,691,1079,0,5304,8,0,1395,175,3,20,1977,203,3578,0,6,1294,2148,0,0,0,0,1522,0,8122,0,189,0,596,0,19,4,3168,0,256,65,20,1376,151,332,1729,0,1,556,302,0,8,0,205,38,0,0,474,0,9,6,0,246,754,0,269,442,1329,2197,1,125,12,22,0,378,225,0,1,44,10,574,1744,13,5,0,32,781,2207,0,0,1016,141,675,0,0,0,2,201,0,15,0,0,0,309,3657,36,0,735,0,1,1,1345,11,126,0,44,2369,0,0,0,88,140,5,224,1,0,84,820,999,0,260,0,0,491,5,724,0,271,0,369,177,265,13,931,66,3855,9,8256,936,373,0,0,0,1865
1866,0,0,3,10,28,1236,130,0,2035,74,3323,421,28,190,129,85,215,52,0,863,554,532,0,76,39,0,0,37,320,395,65,0,1615,0,0,1,0,90,78,2,4,0,0,0,7,0,74,112,0,4472,0,0,0,47,0,1202,14,180,3,533,0,0,1746,0,48,118,74,19,1271,687,0,0,0,1067,100,1145,1229,479,227,7,0,785,3,0,3,377,87,734,0,107,470,1174,45,298,0,735,1,0,0,60,0,9,131,407,116,4,0,1416,1053,0,0,176,61,75,0,1168,616,877,0,4398,11,3,623,124,1,19,1267,97,2998,0,11,964,1682,0,0,0,0,994,0,6040,0,102,1,370,0,16,5,2004,0,171,56,0,1066,82,208,1761,3,0,363,266,0,8,0,125,93,0,1,318,2,0,1,0,153,585,0,215,188,948,1721,3,88,14,18,0,243,129,0,1,37,1,394,1342,5,1,0,35,700,1814,0,0,671,130,447,1,0,0,1,135,1,9,0,0,0,203,1922,28,1,545,0,5,6,909,9,154,0,26,1369,0,0,0,27,335,0,135,2,0,80,640,687,0,177,2,0,306,6,424,0,157,0,207,172,199,8,543,32,4239,6,7366,916,137,0,0,0,1866
1867,0,1,1,6,4,872,185,0,1724,69,3050,234,15,120,72,44,176,80,0,470,488,493,0,45,34,0,0,39,261,351,71,0,2296,0,0,7,0,90,87,0,10,0,0,0,8,0,49,121,0,3645,1,0,0,12,0,551,26,246,1,2845,0,0,1525,0,45,32,118,15,1265,700,2,0,1,759,78,1140,1152,476,201,7,0,459,6,0,5,282,62,702,0,171,406,1251,28,134,0,665,0,0,0,93,0,25,90,495,109,7,0,1158,992,1,1,152,30,32,0,902,596,678,0,4189,11,10,705,142,1,13,1092,62,2186,0,11,1614,1428,0,0,0,0,987,0,5732,1,78,0,323,0,6,1,1457,0,164,55,0,1045,103,199,2346,0,0,275,215,0,51,0,137,35,0,0,201,0,2,7,0,100,603,0,176,336,707,1494,3,80,14,4,0,247,114,0,0,38,1,513,1766,6,4,0,17,627,1892,0,0,639,94,565,2,0,0,0,119,0,16,0,0,0,157,1969,17,2,406,0,9,5,739,6,299,0,36,1654,0,0,0,16,350,1,114,0,0,39,696,656,0,252,3,0,115,6,377,0,123,0,240,132,269,4,455,46,3304,10,5586,813,123,0,0,0,1867
1868,0,0,0,2,0,880,104,0,1722,56,2915,313,15,124,164,93,146,31,0,589,481,450,0,64,38,0,0,19,242,364,91,0,2635,0,0,0,0,78,64,0,7,0,0,0,3,0,31,146,0,3839,1,0,0,17,0,490,4,214,1,603,0,0,1356,0,37,42,112,2,1067,608,1,0,2,568,65,639,735,389,194,15,0,437,1,0,1,297,81,591,1,66,504,920,16,145,0,568,1,0,0,88,0,30,131,298,158,6,0,1057,765,0,0,158,40,61,0,1047,608,826,2,3865,4,6,802,132,2,6,1232,58,2596,0,15,2156,1037,0,0,0,0,938,0,5173,0,114,0,314,0,11,1,2206,0,193,48,0,950,125,157,2320,0,1,181,237,0,7,0,129,59,1,0,311,0,4,7,0,112,523,0,186,219,669,2032,5,68,6,6,0,169,74,0,1,12,1,367,1527,4,2,0,14,533,1652,0,0,625,88,476,3,0,0,1,136,0,8,0,0,0,105,1386,21,0,453,0,22,0,563,12,87,0,37,1242,0,0,0,37,539,2,101,2,1,27,702,506,0,125,1,0,119,4,398,0,179,0,132,104,180,11,336,12,2386,3,5046,597,128,0,0,0,1868
1869,0,1,6,3,1,1275,215,0,2921,55,3699,325,49,97,222,81,124,112,6,571,697,712,0,158,132,0,0,34,279,388,122,0,3691,0,0,2,0,177,93,0,7,0,0,1,11,0,96,126,0,4606,1,0,0,25,0,585,12,321,10,620,0,0,1793,0,45,13,185,16,1228,786,2,0,0,745,79,921,686,494,258,39,1,740,1,0,16,576,75,775,0,66,640,1035,41,262,0,1093,2,0,0,112,0,117,139,465,141,5,0,1403,1307,2,0,292,80,91,0,1289,898,1074,2,4357,6,3,1399,120,1,16,1345,146,2433,0,19,2774,1775,1,0,0,0,1389,0,6320,9,155,2,425,0,11,6,2009,0,181,64,0,1586,154,187,2903,2,0,361,314,0,15,0,142,72,0,0,430,2,2,5,0,201,666,0,230,435,975,3120,4,103,7,24,1,284,154,0,0,10,0,626,2110,7,23,0,11,698,2145,0,0,771,110,601,0,0,0,2,218,2,9,0,1,0,232,2662,14,1,647,0,38,1,831,10,136,0,54,1872,0,0,0,61,571,9,147,3,1,34,843,682,0,201,2,0,128,4,475,0,151,0,234,141,162,23,372,65,2768,9,5916,803,318,0,0,0,1869
1870,0,2,0,3,2,1241,241,0,3367,73,3629,635,46,244,295,95,163,106,1,1001,532,658,0,81,78,0,0,26,508,603,96,0,2283,0,0,4,0,125,88,0,4,0,0,0,13,0,59,78,0,3843,2,0,0,18,0,1732,17,320,0,441,0,0,2069,0,42,33,121,6,1686,748,2,1,1,952,39,1116,697,322,248,43,2,656,0,0,6,659,128,907,0,144,701,1325,33,240,0,1163,1,0,0,124,0,47,138,442,142,4,0,1589,1281,0,0,369,91,88,0,1270,841,1423,1,5182,8,5,1367,130,2,13,1430,190,2593,0,15,2056,1703,0,0,0,0,1276,0,6217,0,126,0,505,0,15,11,2526,0,252,86,0,1636,201,168,3215,0,1,388,469,0,28,0,198,73,0,0,418,2,8,15,0,216,697,0,248,449,890,3693,3,192,20,15,2,341,181,0,0,18,0,441,1853,0,5,0,9,915,1987,0,0,703,144,717,2,0,0,1,141,0,18,0,2,0,146,2614,22,3,892,0,16,7,827,9,148,0,101,1946,0,0,0,40,665,4,171,1,1,29,858,760,0,296,6,0,692,7,498,0,204,0,346,275,184,25,445,39,2629,14,5525,818,221,0,0,0,1870
1871,0,0,11,2,3,1494,341,0,4403,111,4946,520,32,179,263,163,292,77,5,1135,813,834,0,91,110,0,0,52,516,787,82,0,2964,0,0,8,0,182,114,1,3,0,0,2,13,0,91,91,0,4582,1,0,0,26,0,1708,40,461,1,763,0,0,2636,0,118,97,177,17,1469,873,1,0,0,986,48,1465,729,480,355,78,0,886,4,0,8,1140,150,1049,1,161,807,1594,62,424,0,1783,1,0,0,129,0,49,193,697,192,21,0,1929,2241,4,0,468,146,82,0,1544,1274,2017,0,5480,19,6,1943,88,3,12,1610,145,3394,0,27,2332,2217,1,0,0,0,1504,0,7811,1,252,0,600,0,14,10,2878,0,306,115,0,1929,220,249,3875,1,1,465,418,0,37,0,330,158,1,0,535,3,2,5,0,275,950,0,321,615,1626,4325,10,183,10,18,0,493,268,0,0,31,1,782,2677,17,40,0,26,1275,2462,0,0,835,285,828,2,0,0,4,346,1,19,0,0,0,267,3800,47,0,812,0,10,5,1228,7,206,0,53,2437,0,0,0,80,913,5,183,1,0,50,902,895,0,202,6,0,839,4,749,0,190,0,498,267,207,17,591,57,2984,19,7645,836,436,0,0,0,1871
1872,0,1,3,2,1,1591,626,0,4910,59,4224,387,19,213,318,120,241,73,3,788,546,1031,0,104,115,0,0,26,417,713,53,0,3255,0,0,24,0,170,191,0,1,0,0,0,6,0,85,96,0,4437,0,0,0,46,0,715,21,458,7,5385,0,0,2306,0,54,79,41,9,2089,1193,1,0,2,787,56,1068,712,674,324,65,2,703,2,0,5,896,97,1049,1,126,641,2191,59,285,0,1988,2,0,0,199,0,61,165,709,209,29,0,1748,2204,0,0,400,150,103,0,1651,1777,1475,0,5030,13,8,1745,76,1,30,1685,86,3280,0,21,1918,2642,1,0,0,0,1789,0,7594,6,156,0,510,0,19,2,2556,0,339,82,0,2119,226,299,3603,4,2,500,570,0,420,0,611,54,1,0,659,3,1,4,0,228,952,0,376,609,1658,3738,2,149,10,6,0,615,258,0,0,12,2,967,3334,20,59,0,26,1178,2151,0,0,786,246,764,3,0,0,9,353,0,33,0,0,0,524,4980,46,0,941,0,11,52,1229,7,236,0,78,2846,0,0,0,119,837,8,264,0,0,11,870,875,0,833,12,0,202,5,669,0,262,0,839,184,356,34,522,59,2939,7,6989,774,340,0,0,0,1872
1873,0,0,2,0,1,1467,297,0,4866,95,4243,448,27,168,321,98,239,56,1,733,497,948,0,172,121,0,0,18,450,698,84,0,2954,0,0,1,0,203,118,14,2,0,0,0,17,0,85,127,0,3834,0,0,0,31,0,832,26,497,7,811,0,0,2008,0,43,52,51,1,1799,1043,7,0,0,1498,139,1218,826,735,424,85,0,1009,9,0,17,689,126,1070,0,145,764,1598,58,234,0,2003,5,0,0,173,0,59,147,467,174,14,0,1988,1584,0,0,417,145,64,0,1600,1532,1277,0,5421,13,14,1855,55,5,19,1563,132,3542,0,24,2092,1866,5,0,0,0,1680,0,8458,11,211,0,637,0,14,6,2618,0,296,106,0,1896,148,303,3575,2,0,392,438,0,46,1,417,80,1,0,583,6,2,16,0,211,906,0,331,547,1391,3913,9,181,10,14,2,533,285,0,0,52,1,811,2661,7,33,1,14,1093,2143,0,0,909,179,705,1,0,0,0,254,0,16,0,1,0,302,4006,96,0,1084,0,4,15,1206,15,145,0,80,2632,0,0,0,61,884,8,179,1,1,14,845,1000,0,205,5,0,312,1,575,0,267,0,322,258,280,37,573,61,3371,14,7393,655,262,0,0,0,1873
1874,0,0,2,0,4,1381,322,0,4571,84,3885,322,58,155,427,74,208,52,1,714,542,960,0,193,162,0,1,32,383,654,76,0,2422,0,0,1,0,117,133,6,0,0,0,0,10,0,108,75,0,3584,0,0,0,49,0,795,21,451,1,695,0,0,1887,0,22,96,74,4,2277,985,5,0,0,762,67,924,772,608,368,100,1,948,41,0,12,599,116,964,0,194,758,1476,42,292,0,1688,5,0,0,165,0,67,108,424,141,15,0,2042,1580,1,0,460,149,89,0,1513,1712,1331,0,5591,21,9,2033,49,4,12,1515,310,3440,0,21,1492,1784,1,0,0,0,1569,0,7860,3,171,0,662,0,27,14,2056,0,300,99,0,1713,127,259,2964,3,1,430,473,0,22,0,421,49,2,0,815,2,1,14,0,211,808,0,291,582,1431,3121,3,140,16,19,1,511,262,0,0,21,2,725,1977,8,29,0,20,1022,1901,0,0,798,195,658,0,0,0,2,286,0,11,0,1,0,453,3890,48,1,959,0,9,29,1145,2,178,0,68,2934,0,0,0,67,651,1,147,1,0,17,792,831,0,184,4,0,265,2,554,0,256,0,291,243,257,26,510,45,3406,22,7150,661,305,0,0,0,1874
1875,0,0,1,0,1,1678,340,0,4866,142,5287,476,45,154,393,67,243,49,6,886,404,1159,0,213,116,0,0,36,437,713,100,0,2884,0,0,6,0,152,175,4,2,0,0,0,15,0,143,109,0,3711,0,0,0,65,0,1092,37,586,1,438,0,0,1779,0,27,49,58,15,1996,1068,2,0,3,1287,95,937,988,626,535,71,0,1494,88,0,10,617,140,1313,0,199,1030,1860,51,418,0,2112,2,0,0,188,0,86,207,626,179,10,0,2226,2356,2,1,588,151,112,0,1684,1974,1692,0,6000,31,12,2136,84,10,12,1816,101,4078,0,35,1710,2964,5,0,0,0,2086,0,9562,14,202,0,779,0,22,1,2297,0,325,128,0,2367,207,370,4411,1,1,416,725,0,39,1,521,74,0,0,669,0,2,12,0,212,989,0,291,855,1668,4344,2,165,12,19,1,548,283,0,0,18,1,887,2514,11,63,0,23,1136,2175,0,0,997,279,1042,6,0,0,3,335,0,29,0,2,0,304,4982,31,1,1391,0,17,23,1465,2,175,0,64,3307,0,0,0,59,618,16,177,1,8,27,1109,1116,0,180,8,0,192,4,698,0,212,0,398,244,310,28,631,54,3779,15,7423,749,373,0,0,1,1875
1876,1,0,6,17,7,2212,404,0,7256,136,7552,776,77,174,585,152,495,72,2,1666,655,1240,0,287,317,0,1,77,582,991,146,0,3987,6,0,6,0,351,181,7,0,0,0,0,24,0,162,264,0,4700,0,0,0,135,0,2160,32,867,2,915,2,0,2745,0,40,60,82,31,2469,1213,4,1,0,1771,156,1812,991,686,776,231,0,1800,40,0,14,971,215,1605,0,296,1342,2611,54,508,0,2820,2,0,0,237,0,119,300,810,276,11,0,2878,3178,2,1,991,232,176,0,2378,2091,1945,0,7583,41,22,3266,99,2,32,2188,675,5339,0,64,2070,4263,7,0,0,0,2810,0,13001,13,279,1,1101,0,37,11,3861,0,444,146,0,3017,229,506,4506,2,2,605,819,0,87,0,758,101,0,1,926,1,13,15,0,351,1380,0,504,1363,2695,5754,5,226,14,41,5,934,429,1,2,42,8,994,3020,11,102,0,18,1400,2978,0,0,1322,481,1237,3,0,0,4,505,0,37,0,3,0,316,5834,103,0,1668,0,28,27,1931,32,370,0,77,4070,0,0,0,29,640,4,280,1,3,4,1632,1290,0,345,11,0,437,8,803,0,368,0,638,405,400,82,960,89,4496,16,9689,891,722,0,0,0,1876
1877,2,0,10,37,3,3169,877,0,9709,191,8907,1202,64,236,2411,298,508,225,0,2642,666,1857,0,495,462,0,0,86,770,1083,136,2,5503,1,0,26,0,334,305,27,2,0,0,0,26,0,173,140,0,5293,4,0,0,243,0,5422,26,1237,4,11261,2,0,4078,0,104,42,90,73,3732,1631,6,2,5,1349,105,2433,1110,1189,1078,272,0,1691,166,0,31,1546,246,2323,4,378,2071,4407,90,513,0,3136,15,0,0,561,0,452,358,1245,422,16,0,3436,4614,0,0,2835,597,197,0,3438,3338,2328,0,9632,36,17,4738,109,4,31,2979,221,6419,0,114,2076,5628,5,0,0,0,3419,0,17526,25,424,3,1888,0,45,6,5281,0,545,162,0,4000,318,925,4512,5,1,1059,928,0,945,2,1008,97,0,0,1071,0,9,15,0,352,1932,0,592,1914,2734,7592,6,266,26,23,2,1094,485,0,0,99,4,2107,5317,45,312,2,71,1392,3616,0,0,1677,499,1677,11,0,0,6,476,1,79,0,2,1,782,8296,61,3,1644,0,18,28,2732,7,918,0,109,5559,0,0,0,68,844,12,420,1,1,18,2279,1490,0,997,13,0,2081,17,1319,0,524,0,2101,735,641,69,1460,151,5656,3,12533,1408,671,0,0,0,1877
1878,16,7,19,490,1,3194,869,0,11956,279,11240,2287,72,378,2307,182,696,179,4,4997,1438,1924,0,551,362,0,0,215,1222,1420,211,0,6254,4,0,28,0,564,391,6,5,0,0,0,34,0,445,355,0,6638,1,0,0,232,0,7808,87,1575,19,3736,2,0,6971,0,234,85,583,90,3530,1716,30,0,2,2582,94,3356,1298,1278,1140,881,8,2765,200,0,20,1855,314,2736,8,665,2307,4529,160,808,0,3215,16,0,0,526,0,302,394,1564,562,50,0,4213,6114,2,0,2891,891,326,0,4313,3781,3461,1,13001,66,36,5150,200,8,43,3921,636,8631,0,151,2907,6009,9,0,0,0,4706,0,23420,13,517,5,2234,0,48,27,4931,1,831,297,0,5101,489,1035,5051,6,5,1065,1046,0,221,0,1053,237,2,2,1834,4,19,33,0,475,2263,0,797,1876,4398,11480,11,440,61,37,0,1257,548,0,1,99,6,1934,6205,122,301,0,98,2257,4977,0,0,2143,735,1999,9,0,0,3,732,0,66,0,8,0,601,9629,118,3,2094,0,68,38,3691,14,739,0,115,6399,0,0,0,96,1003,28,526,2,1,15,2939,2001,0,531,12,0,1821,53,2055,0,856,0,1326,876,706,157,1732,246,8098,39,19208,1922,1319,0,0,1,1878
1879,16,7,14,153,12,4196,1098,0,16120,225,13355,1824,119,482,1433,307,682,203,1,3092,1249,2155,0,761,454,0,2,265,1238,1611,275,1,7708,3,0,25,0,510,466,11,7,0,0,3,24,0,372,362,0,10926,1,0,0,215,0,4342,64,1492,55,1816,0,0,6671,0,367,72,407,71,4185,2108,12,3,3,3340,248,3724,1647,1391,1546,598,8,2723,228,0,18,1900,356,3426,2,999,2762,5070,162,709,0,4184,12,0,0,780,0,271,423,1896,553,44,0,5174,6317,2,0,2124,750,432,0,5657,5249,3680,1,13789,57,26,8241,209,7,47,4349,440,10011,0,173,3303,6799,18,0,0,0,5292,0,26803,21,676,1,2291,0,31,33,8303,1,881,323,1,5650,524,1151,6269,2,2,1147,1266,0,107,3,1506,215,1,0,2300,4,20,39,0,573,2764,0,1030,1831,4053,11494,15,565,41,34,7,1482,504,0,4,81,3,2334,7093,57,233,1,93,2834,5392,0,0,2302,818,2240,8,0,0,7,982,2,79,0,4,1,1157,12070,126,8,2531,0,97,96,4367,99,524,0,172,8382,0,0,0,135,928,36,742,7,2,6,2475,2432,0,478,16,0,927,58,2071,0,705,0,1226,722,679,129,1873,235,8979,49,21675,2660,1787,0,0,0,1879
1880,5,2,50,81,8,4203,909,0,15565,254,14116,1746,99,340,1176,264,838,198,0,3144,846,2450,0,625,467,0,0,152,1057,1809,299,0,7721,3,1,28,0,830,366,15,12,0,0,8,41,0,388,318,0,9649,2,0,0,172,0,3276,115,1474,22,1692,2,0,6324,0,322,98,535,51,4387,2071,10,8,4,2638,134,5062,1697,1356,1754,430,12,2643,175,0,28,1975,454,3077,7,1181,2439,4941,169,836,0,5333,13,0,0,577,0,328,404,1618,521,28,0,5269,6486,0,3,2634,878,414,2,5322,5018,3797,0,13067,120,24,8591,186,13,50,4386,335,10124,0,140,3221,6589,16,0,0,1,5889,0,26199,20,632,2,2464,0,60,28,8446,0,879,345,0,5481,507,1136,5619,1,0,1191,1250,0,140,2,1598,204,0,1,2359,13,21,32,0,468,2467,0,1042,2200,4850,12876,16,477,30,46,2,1461,595,4,1,85,60,2312,6780,78,251,3,75,2795,5240,0,0,2179,763,2083,2,0,0,4,828,0,70,0,2,0,733,11187,98,4,2617,0,96,66,4929,25,559,0,340,8177,0,0,0,85,1034,23,757,0,1,0,2590,1998,0,480,19,0,590,26,1697,0,517,0,1128,819,633,190,1643,315,7943,39,22488,2287,1782,0,0,0,1880
1881,22,3,111,24,1,4269,1126,0,15860,287,16880,1696,66,526,1193,348,789,253,6,3223,956,2434,0,660,498,6,15,122,1027,1839,324,0,7467,1,1,86,0,1051,415,38,2,0,0,8,32,0,401,377,0,9935,0,0,0,320,0,3468,172,2452,52,2309,9,0,5998,0,242,142,506,117,4784,2152,4,9,168,2677,241,8116,2528,1116,2323,574,11,3326,201,0,30,2888,524,3448,2,951,3042,5300,167,1289,0,5180,40,0,0,788,0,460,513,1886,558,16,0,5594,7371,0,1,3197,971,403,0,5887,5208,4625,3,14779,89,22,7508,238,14,59,4738,242,11324,0,208,3163,8236,18,0,0,0,6662,0,27051,38,788,1,2525,0,63,26,9650,1,897,320,0,6880,512,1396,6401,4,0,1290,1425,0,219,0,1808,240,2,0,2335,25,15,50,0,923,2932,0,1122,2555,5357,15021,20,445,36,64,7,1651,719,0,7,61,28,2210,6563,72,605,4,164,2974,6011,0,0,2162,854,2515,12,0,0,10,950,0,118,0,3,2,863,9804,176,0,3055,0,59,68,5371,2,525,0,219,8856,0,0,0,166,1097,57,704,3,0,3,2867,2388,0,637,23,0,896,32,1969,0,644,0,1577,961,849,339,2061,238,8508,42,20302,2238,2462,0,0,0,1881
1882,12,9,109,40,7,5330,1457,0,18495,254,18040,1805,79,548,1105,279,561,407,3,3386,1023,2770,0,1056,744,0,9,299,1209,2230,386,0,10002,15,0,90,0,1143,637,25,5,0,0,6,24,0,456,333,4,12685,0,0,0,426,0,3418,136,2746,251,14742,2,2,7798,0,289,288,462,162,7703,2582,31,5,209,3064,240,5173,4338,2273,2252,801,6,3287,151,1,481,3513,481,4218,2,827,3538,8095,178,959,0,6377,41,0,0,839,6,1156,646,2449,746,32,0,7120,8538,6,4,5358,1485,663,0,7180,6368,5819,0,19118,94,27,9419,449,26,77,6141,420,12731,0,181,3843,10284,34,0,0,0,7262,0,34094,110,647,4,2825,0,76,59,10025,0,1144,246,2,8613,790,2302,7419,2,3,1800,2119,0,707,1,2583,262,0,16,2841,10,11,55,0,859,3800,0,1302,4344,5537,18426,6,531,57,85,14,1739,799,31,6,69,21,3127,10935,170,1116,3,149,3089,7164,0,0,2811,1118,3270,9,0,1,2,1072,0,200,0,11,1,1081,12451,170,10,4159,0,124,108,6089,53,1189,0,175,11600,0,0,0,257,1484,133,642,14,10,3,4273,3488,0,1311,33,0,1261,23,2245,0,754,0,2970,1248,1033,158,2357,321,9842,62,24836,2433,2095,0,0,0,1882
