,keisari,suuriruhtinas,year
1820,55.40094825809111,0.0,1820
1821,107.99283693081624,1.3669979358331168,1821
1822,74.31225437656305,0.0,1822
1823,18.762731853757906,1.340195132411279,1823
1824,60.16766723268842,0.0,1824
1825,27.839235739717797,0.0,1825
1826,146.75377820424174,0.0,1826
1827,42.89753339182997,0.0,1827
1829,76.52187921625486,0.0,1829
1830,99.91265497458197,0.0,1830
1831,47.58169262226566,0.0,1831
1832,62.93751204161582,0.0,1832
1833,40.31058979018668,0.0,1833
1834,37.51009275800904,0.0,1834
1835,45.40672240987873,0.0,1835
1836,20.656383773866956,0.0,1836
1837,22.628679920082128,0.0,1837
1838,2.7030923376342537,0.0,1838
1839,2.5195263290501386,0.0,1839
1840,49.555449940301614,9.563332444619611,1840
1841,12.779866794465335,0.0,1841
1842,0.0,18.3452577508714,1842
1844,22.970024118525323,0.0,1844
1845,8.302602173898002,1.7297087862287504,1845
1846,19.596155887420085,0.0,1846
1847,10.947234330526861,0.0,1847
1848,10.215573109996388,0.0817245848799711,1848
1849,8.188490786707185,0.0,1849
1850,2.144008382140597,0.0,1850
1851,4.216218568770605,0.0680035253027517,1851
1852,4.168801071760858,0.0,1852
1853,2.20474030770052,0.0,1853
1854,15.074994640770255,0.3688072083368869,1854
1855,25.21890126579639,0.3608427844072616,1855
1856,29.822658601636974,1.090614248987985,1856
1857,22.341731979078144,0.8574129597233936,1857
1858,14.70855608964865,0.2808925642120402,1858
1859,19.581921183247186,0.5279439534698996,1859
1860,19.78236611029923,0.4179373121894204,1860
1861,19.4556896667839,1.1848016143233786,1861
1862,16.01049129680957,3.0304615017411742,1862
1863,40.356498505074974,6.016148308155899,1863
1864,20.288772715957183,2.2226963974536793,1864
1865,12.562858824690597,3.1852452733160477,1865
1866,24.104567931409136,3.5577921226272,1866
1867,26.82895201641932,4.1890819815110865,1867
1868,14.902743854017478,2.6587054763035876,1868
1869,17.757259991158,3.4704742653729,1869
1870,18.555689014633057,1.862219686056364,1870
1871,22.10002425722799,2.353313163227008,1871
1872,15.533967026100555,3.898036669470926,1872
1873,18.62345739134902,2.2629488455826396,1873
1874,14.374543989371551,2.722451513138551,1874
1875,11.759142639278698,1.2800774271146502,1875
1876,17.55322055098513,2.0343136400148327,1876
1877,19.229983409100626,5.698651063691554,1877
1878,20.968895430317847,5.248472038577769,1878
1879,21.124023829305635,3.522561438775188,1879
1880,28.22792482315863,5.498367024028923,1880
1881,39.121382718182204,7.307542656575188,1881
1882,20.184869682337446,5.002320304031819,1882
1883,26.760385893714545,4.568060521789935,1883
1884,19.115265573863848,4.068606235912941,1884
1885,22.183219379778905,4.2620739958517175,1885
1886,14.39415051621178,3.363542646195829,1886
1887,18.581504076308786,2.5904013648824793,1887
1888,39.99224806053798,4.263100791456416,1888
1889,23.69269582250443,3.7476702963621373,1889
1890,24.88304934131077,2.3234418650826654,1890
1891,17.19863589602096,3.797119777289884,1891
1892,12.78227665959602,1.7397176544489128,1892
1893,11.61387398323757,1.5196918484509563,1893
1894,35.16847138945781,5.70431145076756,1894
1895,16.572889338013077,2.00658301401952,1895
1896,19.68012965274074,2.786791910798603,1896
1897,14.367167959647691,2.394034987717013,1897
1898,14.092463840510751,1.8007761379918763,1898
1899,22.913036031415892,4.522521135074725,1899
1900,17.584136408578086,2.2144393586822164,1900
1901,11.943304701906792,1.1195753967853113,1901
1902,8.909160541682738,0.7113606755340964,1902
1903,10.13361857234119,0.6452116694000007,1903
1904,13.392336587291062,2.6406747617413564,1904
1905,12.880873062353482,3.014196642571662,1905
1906,9.894470704758243,2.991018407480222,1906
1907,10.063629644034124,2.353749734539101,1907
1908,8.896213546508736,1.4526961408244838,1908
1909,11.766378407858562,1.7785082205549696,1909
1910,11.322429013483415,1.4896019240941571,1910
