,politik,furstendöme,hertigdöme,finland,stat,finsk,finne,nation,folk,gräns,modern,ryss,ryska,kejsardöme,rike,författning,konstitution,grundlag,fred,sverige,svenska,dynastisk,social,kultur,ryssland,makt,representation,administrativ,styre,välde,regel,rättighet,monark,regent,suverän,provins,integritet,system,suveränitet,krig,land,stånd,statsform,statsskick,regeringsform,regering,riksdag,parlament,lag,liberal,kung,tsar,kejsare,senat,medborgare,invånare,demokrati,historia,koncept,begrepp,europeisk,universitet,sekel,århundrade,område,territorium,förändring,byta,historisk,swensk,inre,inrikes,europa,diskutera,tidig,fråga,delta,ställning,status,bilda,form,gestalt,region,fördrag,del,skilja,dela,hertig,human,offentlig,allmän,tid,period,epok,era,omtvistad,tvistig,språk,olik,annorlunda,stötta,stödja,protest,invändning,arkiv,styresman,vetenskap,risk,publicera,princip,medeltid,förbi,förra,föreställning,lokal,petersburg,akademi,samfund,alternativ,annan,skapa,artikel,paragraf,trakt,medlem,gemensam,central,marskalk,ämbetsman,officiell,myt,intresse,napoleon,förena,kombinera,jämförelse,general,utverka,allmoge,karta,skandinavien,försvara,ekonomi,ekonomisk,finans,geografisk,samband,överenskommelse,valuta,sedel,mynt,slant,penning
politik,0.9999999403953552,0.41342124342918396,0.38232243061065674,0.1716436743736267,0.37266358733177185,0.1896677017211914,0.15456897020339966,0.3598576486110687,0.286220908164978,0.32732874155044556,0.1292191594839096,0.32381579279899597,0.40368714928627014,0.5250005722045898,0.2163504809141159,0.28401613235473633,0.45690232515335083,0.4397205114364624,0.35768917202949524,0.2233726680278778,0.2583024799823761,0.5215127468109131,0.5814872980117798,0.5469773411750793,0.4617973864078522,0.4667823612689972,0.3298068642616272,0.5517920255661011,0.4220024645328522,0.42215052247047424,0.3978336453437805,0.21732428669929504,0.43736982345581055,0.43221142888069153,0.4546915590763092,0.314192533493042,0.5981977581977844,0.46949198842048645,0.515937864780426,0.3922486901283264,0.2951323091983795,0.1957782357931137,0.5241765975952148,0.5289880037307739,0.4514748454093933,0.38968220353126526,0.2438485473394394,0.39031311869621277,0.3688980042934418,0.4040469527244568,0.2569996416568756,0.19222863018512726,0.34170323610305786,0.4382954239845276,0.30404481291770935,0.24304531514644623,0.529216468334198,0.3696829378604889,0.22935664653778076,0.3235257863998413,0.4282114803791046,0.23550859093666077,0.37368035316467285,0.40080633759498596,0.3511465787887573,0.4771744906902313,0.3365829288959503,0.20763331651687622,0.32543492317199707,0.23260284960269928,0.42813271284103394,0.26321765780448914,0.3871646821498871,0.4583628177642822,0.19022782146930695,0.3090384304523468,0.2123396247625351,0.4324035942554474,0.5818697810173035,0.29944032430648804,0.30713415145874023,0.4526389539241791,0.4461958408355713,0.5256515145301819,0.1632174849510193,0.3139503300189972,0.22238926589488983,0.20158500969409943,0.4513654410839081,0.1792565882205963,0.19691039621829987,0.27510401606559753,0.325448215007782,0.5089470148086548,0.20140859484672546,0.38968783617019653,0.39617297053337097,0.3028072416782379,0.22103546559810638,0.2706400752067566,0.31820106506347656,0.2730211913585663,0.4312710762023926,0.41834187507629395,0.4305363595485687,0.3335978388786316,0.41831105947494507,0.3488393723964691,0.39927536249160767,0.48960718512535095,0.37174007296562195,0.19583706557750702,0.21176938712596893,0.3617042005062103,0.13026708364486694,0.28399550914764404,0.21672792732715607,0.36616459488868713,0.39328649640083313,0.23166115581989288,0.47008684277534485,0.3757703900337219,0.41594645380973816,0.11597172170877457,0.2908969819545746,0.24897736310958862,0.41556715965270996,0.37292584776878357,0.35747644305229187,0.34634262323379517,0.3095746338367462,0.4959544241428375,0.3449401259422302,0.29350927472114563,0.4231441617012024,0.47691094875335693,0.25587621331214905,0.44157350063323975,0.10551424324512482,0.23225969076156616,0.2643596827983856,0.3823957145214081,0.44430607557296753,0.3789593279361725,0.4469468295574188,0.3117954432964325,0.4587942063808441,0.2444838434457779,0.2522038519382477,0.13728219270706177,0.2142406702041626,0.34070396423339844,0.11421822756528854
furstendöme,0.41342124342918396,0.9999999403953552,0.627445638179779,0.36883315443992615,0.3494722247123718,0.2625270485877991,0.17296583950519562,0.3677574396133423,0.2922513782978058,0.5138639807701111,0.14505991339683533,0.48091113567352295,0.4855158030986786,0.6077680587768555,0.31598570942878723,0.2396199256181717,0.3705695569515228,0.3268589675426483,0.26385948061943054,0.2596599757671356,0.15486179292201996,0.6056222319602966,0.5117433667182922,0.4454987347126007,0.47381460666656494,0.44346994161605835,0.22331488132476807,0.4491991698741913,0.4189009368419647,0.38928332924842834,0.3187777101993561,0.2555449604988098,0.4142747223377228,0.4521655738353729,0.5760256052017212,0.4987584054470062,0.6943889856338501,0.3333580195903778,0.5417779684066772,0.4552890956401825,0.3397887945175171,0.16141991317272186,0.5020087957382202,0.4632629156112671,0.32242250442504883,0.3851644694805145,0.15469840168952942,0.34355518221855164,0.2615921199321747,0.42127448320388794,0.2865123450756073,0.3431468605995178,0.3997993469238281,0.46437931060791016,0.33263400197029114,0.39074647426605225,0.5141846537590027,0.2848556637763977,0.2861476242542267,0.293013334274292,0.5047316551208496,0.36244499683380127,0.2913517355918884,0.29026567935943604,0.4311251640319824,0.6630349159240723,0.23694248497486115,0.2136419713497162,0.2227640450000763,0.24865633249282837,0.32804596424102783,0.2532396614551544,0.4802890419960022,0.36024999618530273,0.18635988235473633,0.17906978726387024,0.2967938482761383,0.3259829878807068,0.5351348519325256,0.3137739896774292,0.14844973385334015,0.37254148721694946,0.42709964513778687,0.5211624503135681,0.288052499294281,0.2664681077003479,0.2397351861000061,0.3382593095302582,0.4350379705429077,0.14129199087619781,0.18694210052490234,0.15889424085617065,0.25794655084609985,0.413114070892334,0.28370630741119385,0.3388035297393799,0.5698601603507996,0.24241062998771667,0.15854571759700775,0.23974935710430145,0.5375339388847351,0.27360397577285767,0.48958614468574524,0.37800946831703186,0.5008796453475952,0.35110947489738464,0.2726234197616577,0.3781909644603729,0.3801104426383972,0.30735403299331665,0.37549036741256714,0.31762242317199707,0.18741384148597717,0.2849937677383423,0.11560730636119843,0.3551945090293884,0.13177527487277985,0.25068342685699463,0.36956849694252014,0.17675630748271942,0.22804541885852814,0.2352551519870758,0.27077168226242065,0.33728647232055664,0.3159540593624115,0.26963484287261963,0.53707355260849,0.4438193440437317,0.39015841484069824,0.4041271209716797,0.46288466453552246,0.310773104429245,0.38316214084625244,0.3025391101837158,0.6310237050056458,0.4095726013183594,0.44259071350097656,0.4580006003379822,0.23325908184051514,0.28407084941864014,0.29357805848121643,0.3753323554992676,0.3768853545188904,0.27421000599861145,0.5610077977180481,0.22519618272781372,0.4457288384437561,0.21249888837337494,0.23533274233341217,0.1623387634754181,0.2801866829395294,0.35401836037635803,0.2194753885269165
hertigdöme,0.38232243061065674,0.627445638179779,1.0,0.386701762676239,0.40225639939308167,0.2775660753250122,0.10648355633020401,0.3398275375366211,0.2596558630466461,0.395966112613678,0.1258188933134079,0.4273272156715393,0.4882386326789856,0.5867351293563843,0.3455839455127716,0.2809511423110962,0.41208142042160034,0.3066537082195282,0.26224303245544434,0.3116022050380707,0.24756339192390442,0.5476461052894592,0.5190034508705139,0.46823176741600037,0.45260879397392273,0.4299946427345276,0.270622581243515,0.5160714983940125,0.4612177014350891,0.3958885371685028,0.2723463773727417,0.27232953906059265,0.38508257269859314,0.41023194789886475,0.531458854675293,0.5734250545501709,0.6653083562850952,0.33581092953681946,0.6028645038604736,0.31993231177330017,0.4201206862926483,0.25514280796051025,0.5221241116523743,0.5461508631706238,0.3748314082622528,0.34512507915496826,0.23508210480213165,0.38317930698394775,0.26055628061294556,0.3980802595615387,0.33695918321609497,0.39482197165489197,0.3616351783275604,0.43829312920570374,0.26850438117980957,0.5000467300415039,0.5255718231201172,0.3023991286754608,0.2306499481201172,0.2718351483345032,0.4211549460887909,0.4270872473716736,0.40544891357421875,0.4122590124607086,0.49467524886131287,0.645795464515686,0.3084988296031952,0.17206060886383057,0.30917617678642273,0.17727959156036377,0.381430983543396,0.3154958486557007,0.43108612298965454,0.5206630229949951,0.1676817685365677,0.3292229473590851,0.2780994176864624,0.3593055307865143,0.5640297532081604,0.30719414353370667,0.2293321043252945,0.41536352038383484,0.5252261161804199,0.49323752522468567,0.34763941168785095,0.3368290960788727,0.28693675994873047,0.3594564199447632,0.41180580854415894,0.2731713652610779,0.2455344796180725,0.23265326023101807,0.35497140884399414,0.46918100118637085,0.28669172525405884,0.48341378569602966,0.5141310691833496,0.21140943467617035,0.2585659623146057,0.1916358321905136,0.33109959959983826,0.306973397731781,0.443701833486557,0.411501407623291,0.5650785565376282,0.5520573854446411,0.3396294414997101,0.4578828811645508,0.42805179953575134,0.3327556848526001,0.4793063998222351,0.28893983364105225,0.2620362341403961,0.23962466418743134,0.25177305936813354,0.33829689025878906,0.27604958415031433,0.27595749497413635,0.4902983605861664,0.22613424062728882,0.2876019775867462,0.28407254815101624,0.40907806158065796,0.40069201588630676,0.3475162386894226,0.34502923488616943,0.6520966291427612,0.4397760331630707,0.44577696919441223,0.4239935278892517,0.47334179282188416,0.34817972779273987,0.3425597548484802,0.30801934003829956,0.5646559000015259,0.5645841360092163,0.399091899394989,0.5205340385437012,0.2344571352005005,0.33740857243537903,0.3749493360519409,0.37364453077316284,0.4798867702484131,0.36389923095703125,0.5666603446006775,0.37298285961151123,0.4744480550289154,0.2478473037481308,0.27696049213409424,0.24060238897800446,0.31362271308898926,0.461088091135025,0.23389846086502075
finland,0.1716436743736267,0.36883315443992615,0.386701762676239,1.0,0.21584869921207428,0.2687475085258484,0.10584232211112976,0.22916297614574432,0.16791477799415588,0.2207469791173935,0.04109949246048927,0.18237413465976715,0.28662028908729553,0.308464378118515,0.2353326976299286,0.2114180028438568,0.1412539929151535,0.1206522136926651,0.2840145528316498,0.3604360520839691,0.29868125915527344,0.27564263343811035,0.2094164788722992,0.23570425808429718,0.40661704540252686,0.13283513486385345,0.05665099248290062,0.22305087745189667,0.2166874259710312,0.16931934654712677,0.16427545249462128,0.04501048102974892,0.12952373921871185,0.20009568333625793,0.17396847903728485,0.2628573775291443,0.32492583990097046,0.15633800625801086,0.2723245620727539,0.29428714513778687,0.3488735854625702,0.05377872288227081,0.30232009291648865,0.2056843489408493,0.2160661816596985,0.12980283796787262,0.10544534772634506,0.11309117823839188,0.15029186010360718,0.06342554837465286,0.2131546437740326,0.2675912082195282,0.1848837286233902,0.1182502880692482,0.11292774230241776,0.24052868783473969,0.31206509470939636,0.2726859152317047,0.25652024149894714,0.15377411246299744,0.25684893131256104,0.3134768307209015,0.23778362572193146,0.26185479760169983,0.22406123578548431,0.27514487504959106,0.18478672206401825,0.13510742783546448,0.1889437437057495,0.1845996379852295,0.1728888750076294,0.3654329478740692,0.31023216247558594,0.19451646506786346,0.2546040713787079,0.10642809420824051,0.20837053656578064,0.21869193017482758,0.23175066709518433,0.1105598658323288,0.05646945908665657,0.08655957877635956,0.2356593906879425,0.20329956710338593,0.24720627069473267,0.20287753641605377,0.22545747458934784,0.1392858773469925,0.14545750617980957,0.04549947753548622,0.19997616112232208,0.16302014887332916,0.28158196806907654,0.28431007266044617,0.20994232594966888,0.2741146683692932,0.320886492729187,0.19684484601020813,0.10206026583909988,0.19430693984031677,0.20599547028541565,0.10321729630231857,0.21141895651817322,0.1617201715707779,0.35920703411102295,0.26983603835105896,0.2781466245651245,0.2978840172290802,0.20011012256145477,0.09142845124006271,0.2897345721721649,0.1834777593612671,0.12441642582416534,-0.002286347094923258,0.08143240958452225,0.403156042098999,0.1723295897245407,0.09458927810192108,0.18665726482868195,0.1524054855108261,0.12324497103691101,0.1282169669866562,0.17854507267475128,0.19023314118385315,0.07870950549840927,0.18651904165744781,0.3018333315849304,0.1549067348241806,0.13108009099960327,0.21830235421657562,0.2843264937400818,0.13940773904323578,0.24408087134361267,0.17881439626216888,0.27405595779418945,0.2680176794528961,0.13721206784248352,0.266417920589447,0.24141304194927216,0.31646138429641724,0.41076475381851196,0.13784806430339813,0.2819531559944153,0.26196300983428955,0.27921000123023987,0.23979400098323822,0.27200379967689514,0.18032078444957733,0.19882957637310028,0.13560602068901062,0.19846761226654053,0.24700072407722473,0.19227561354637146
stat,0.37266358733177185,0.3494722247123718,0.40225639939308167,0.21584869921207428,1.0,0.20203177630901337,0.1779528558254242,0.35124674439430237,0.27985405921936035,0.2778915464878082,0.14685721695423126,0.3211040794849396,0.3247494101524353,0.39888522028923035,0.38791584968566895,0.2639325261116028,0.3255504369735718,0.3252043128013611,0.22247527539730072,0.27392324805259705,0.26354148983955383,0.35913363099098206,0.43833091855049133,0.37501588463783264,0.40982070565223694,0.4476899802684784,0.18635353446006775,0.4414311945438385,0.360879510641098,0.32086533308029175,0.30914992094039917,0.2801397144794464,0.3292899429798126,0.3643270432949066,0.39235934615135193,0.3938612937927246,0.4733257293701172,0.2647514343261719,0.4286690652370453,0.30192700028419495,0.4024733901023865,0.22594471275806427,0.40761250257492065,0.3867262303829193,0.38737645745277405,0.3424922227859497,0.23844704031944275,0.34013110399246216,0.2591870129108429,0.2620776891708374,0.1425982117652893,0.19069916009902954,0.26678863167762756,0.34816813468933105,0.309169203042984,0.31852656602859497,0.3894984722137451,0.20621375739574432,0.11253508180379868,0.2386610507965088,0.3591867983341217,0.31951096653938293,0.32892054319381714,0.24616827070713043,0.3800019323825836,0.4142073392868042,0.22027115523815155,0.16166990995407104,0.16060389578342438,0.18035350739955902,0.2951046824455261,0.1923857033252716,0.437001496553421,0.36315739154815674,0.12952375411987305,0.2732940912246704,0.15428060293197632,0.2665129601955414,0.4323189854621887,0.23190203309059143,0.17670129239559174,0.2349923551082611,0.3593747317790985,0.43290644884109497,0.28294727206230164,0.28048092126846313,0.19814179837703705,0.1282319873571396,0.3856452405452728,0.16423289477825165,0.22301599383354187,0.2045234590768814,0.2830490171909332,0.3840824067592621,0.2510858476161957,0.3079393804073334,0.3646637201309204,0.22792503237724304,0.1284652203321457,0.2123008370399475,0.30117204785346985,0.22249247133731842,0.31227749586105347,0.32539862394332886,0.36530160903930664,0.32554498314857483,0.3188745379447937,0.3898194432258606,0.2913059592247009,0.34392672777175903,0.33980104327201843,0.15881022810935974,0.19143305718898773,0.16718244552612305,0.12433462589979172,0.2448071539402008,0.20615658164024353,0.2509371042251587,0.3796394169330597,0.17283356189727783,0.32666850090026855,0.1865846961736679,0.30774322152137756,0.13583819568157196,0.33878377079963684,0.2737368047237396,0.4145810902118683,0.22770638763904572,0.36482957005500793,0.23329298198223114,0.2772321105003357,0.3441183865070343,0.2377607375383377,0.2623462975025177,0.325079083442688,0.3515751361846924,0.20585186779499054,0.34500402212142944,0.1688077449798584,0.231247216463089,0.2828872799873352,0.26422548294067383,0.39273762702941895,0.35622990131378174,0.33594053983688354,0.29119592905044556,0.3866826891899109,0.24369192123413086,0.27664002776145935,0.18241949379444122,0.31527388095855713,0.3323420286178589,0.22803157567977905
finsk,0.1896677017211914,0.2625270485877991,0.2775660753250122,0.2687475085258484,0.20203177630901337,1.0,0.2985161244869232,0.23622922599315643,0.12668168544769287,0.19908952713012695,0.13177452981472015,0.18403393030166626,0.3552645742893219,0.339735746383667,0.18538765609264374,0.055387578904628754,0.1634160578250885,0.1903211772441864,0.12817342579364777,0.18994981050491333,0.3767797350883484,0.3284509479999542,0.26352712512016296,0.20847469568252563,0.15826019644737244,0.0802043080329895,0.171990767121315,0.21640123426914215,0.24251648783683777,0.1707541048526764,0.20130905508995056,0.14003506302833557,0.07468261569738388,0.09595335274934769,0.1620008796453476,0.2348877489566803,0.31103649735450745,0.09308301657438278,0.33742421865463257,0.10681886225938797,0.1441918909549713,0.1281110942363739,0.31464752554893494,0.2596372067928314,0.1567142903804779,0.1453206092119217,0.09424706548452377,0.1847272366285324,0.10459896177053452,0.15240484476089478,0.13854868710041046,0.37028467655181885,0.10138854384422302,0.18354913592338562,0.07902239263057709,0.18202446401119232,0.2074926495552063,0.24709147214889526,0.4444524943828583,0.10674510896205902,0.2597050368785858,0.29039180278778076,0.17288894951343536,0.18333405256271362,0.29083314538002014,0.21218754351139069,0.13588756322860718,0.09397067874670029,0.1249992623925209,0.4184155762195587,0.12239531427621841,0.21752838790416718,0.179287388920784,0.2534584105014801,0.1739412248134613,0.16780807077884674,0.05755532532930374,0.08204798400402069,0.23959898948669434,0.16896359622478485,0.13180674612522125,0.17944106459617615,0.20528605580329895,0.1104825809597969,0.17394793033599854,0.1781845986843109,0.08752217143774033,0.08927105367183685,0.27671003341674805,0.15284767746925354,0.18530452251434326,0.22338317334651947,0.21277232468128204,0.2425491064786911,0.17595213651657104,0.27935928106307983,0.36964181065559387,0.39372435212135315,0.19813892245292664,0.10563558340072632,0.19395850598812103,0.08653082698583603,0.2357025444507599,0.18874475359916687,0.37040990591049194,0.1639392077922821,0.2430715411901474,0.31073716282844543,0.2154741734266281,0.11137008666992188,0.27547192573547363,0.2219759076833725,0.22692789137363434,0.12435591965913773,0.1523824781179428,0.2514089047908783,0.23415228724479675,0.1843811571598053,0.254589706659317,0.09617974609136581,0.2168477475643158,0.13088855147361755,0.24707554280757904,0.1199190691113472,0.2632375955581665,0.14880815148353577,0.2932634651660919,0.16864565014839172,0.15006981790065765,0.20652790367603302,0.33660075068473816,0.18928475677967072,0.07540450990200043,0.17072473466396332,0.2407708317041397,0.2613571882247925,0.13218995928764343,0.24262696504592896,0.19936658442020416,0.167924165725708,0.3140791952610016,0.19343805313110352,0.25793975591659546,0.2620430588722229,0.3632884621620178,0.25645554065704346,0.1699356734752655,0.22193478047847748,0.11178163439035416,-0.0038929160218685865,0.12361393123865128,0.29694864153862,-0.01623147539794445
finne,0.15456897020339966,0.17296583950519562,0.10648355633020401,0.10584232211112976,0.1779528558254242,0.2985161244869232,1.0,0.1607217639684677,0.0942840501666069,0.20502081513404846,0.2497425526380539,0.08112920820713043,0.2075185924768448,0.25564926862716675,0.13539846241474152,0.215302512049675,0.12891358137130737,0.11286833137273788,0.14406342804431915,0.14356350898742676,0.1668967604637146,0.29221445322036743,0.19067099690437317,0.1392022967338562,0.05684497207403183,0.03835029527544975,0.10937044024467468,0.17850390076637268,0.24055993556976318,0.1175859346985817,0.25487667322158813,0.15395556390285492,0.08962683379650116,0.13163988292217255,0.1425771713256836,0.1533789187669754,0.20655328035354614,0.027580922469496727,0.2428121119737625,0.12136460840702057,0.13818417489528656,0.12924011051654816,0.2928102910518646,0.16482940316200256,0.11439482867717743,0.10156948864459991,0.12108958512544632,0.1092526838183403,0.16095876693725586,0.05930575728416443,0.16001532971858978,0.31625545024871826,0.06267756968736649,0.047934602946043015,0.11968613415956497,0.021427618339657784,0.21793369948863983,0.13398022949695587,0.32122400403022766,0.07980464398860931,0.18797928094863892,0.09702686220407486,0.16733871400356293,0.10131367295980453,0.17924554646015167,0.1383318156003952,0.14701546728610992,0.2591475546360016,0.10769326984882355,0.31426239013671875,0.15365499258041382,0.06242641061544418,0.10933847725391388,0.19670432806015015,0.1700052171945572,0.08487901091575623,0.016790524125099182,0.07457432150840759,0.16007612645626068,0.13750974833965302,0.21383918821811676,0.20173798501491547,0.19579343497753143,0.07440353184938431,0.14587266743183136,0.14723004400730133,0.09261521697044373,0.06090064346790314,0.2605281472206116,0.07241305708885193,0.08091939985752106,0.24642778933048248,0.22257806360721588,0.15147995948791504,0.20805296301841736,0.24803565442562103,0.263310968875885,0.187388613820076,0.16256606578826904,0.08222328126430511,0.2629036605358124,0.20798487961292267,0.06881948560476303,0.13473795354366302,0.2747964859008789,0.05745891481637955,0.10965725779533386,0.2295498102903366,0.09533435106277466,0.15426327288150787,0.12730778753757477,0.15882481634616852,0.09215311706066132,0.15747304260730743,0.22048088908195496,0.08867686241865158,0.15010897815227509,0.13443459570407867,0.13603051006793976,0.221750870347023,0.16161376237869263,0.09135140478610992,0.15603558719158173,0.13996268808841705,0.11011876910924911,0.15370558202266693,0.21379561722278595,0.043671369552612305,0.1224716454744339,0.11487925797700882,0.37049633264541626,0.09500036388635635,0.09926114231348038,0.09563931077718735,0.10729733109474182,0.1458960771560669,0.10616008192300797,0.13422420620918274,0.15790383517742157,0.06974498182535172,0.23673933744430542,0.13430063426494598,0.18026414513587952,0.14172136783599854,0.1479882299900055,0.1529289036989212,0.09931247681379318,0.23064425587654114,0.116271011531353,0.08104163408279419,0.15681162476539612,0.29464536905288696,0.053167857229709625
nation,0.3598576486110687,0.3677574396133423,0.3398275375366211,0.22916297614574432,0.35124674439430237,0.23622922599315643,0.1607217639684677,1.0,0.42449378967285156,0.26190826296806335,0.1693354994058609,0.2954454720020294,0.3343691825866699,0.4055904150009155,0.3186550438404083,0.27946075797080994,0.38618043065071106,0.35059261322021484,0.23653608560562134,0.28911495208740234,0.31150463223457336,0.41204482316970825,0.4819217622280121,0.4577653110027313,0.3527866005897522,0.41945961117744446,0.3014850616455078,0.4154358208179474,0.3123452961444855,0.3054511547088623,0.34481826424598694,0.24335329234600067,0.36266589164733887,0.4484703540802002,0.42146036028862,0.3414901793003082,0.4593237042427063,0.3310949504375458,0.4522024095058441,0.27376788854599,0.3318873941898346,0.22778062522411346,0.45034652948379517,0.4329835772514343,0.358991801738739,0.4363250434398651,0.22330798208713531,0.3005623519420624,0.2770839035511017,0.34296515583992004,0.2103041708469391,0.17247843742370605,0.27206358313560486,0.32856133580207825,0.42028412222862244,0.34094491600990295,0.4167275130748749,0.27450811862945557,0.14747083187103271,0.29068252444267273,0.37380683422088623,0.31980884075164795,0.30434927344322205,0.2674025893211365,0.3750837743282318,0.43223750591278076,0.2914942502975464,0.14918358623981476,0.22438035905361176,0.19179685413837433,0.29049256443977356,0.17905989289283752,0.414556622505188,0.3768611550331116,0.1330348402261734,0.17708975076675415,0.17029041051864624,0.3232548236846924,0.4409486651420593,0.2847638726234436,0.20464856922626495,0.33689644932746887,0.37062501907348633,0.4234701991081238,0.21227295696735382,0.24777479469776154,0.17315632104873657,0.1969173550605774,0.4251188039779663,0.2134040892124176,0.20903410017490387,0.1826430708169937,0.3081236183643341,0.40116527676582336,0.2195916622877121,0.33295735716819763,0.36274027824401855,0.2530592978000641,0.18645799160003662,0.2459414154291153,0.24107235670089722,0.17772744596004486,0.30358555912971497,0.30343350768089294,0.3420241177082062,0.3697625696659088,0.3522898852825165,0.3342195749282837,0.2846275866031647,0.3894153833389282,0.3534613847732544,0.1394810527563095,0.21673502027988434,0.24883747100830078,0.20704038441181183,0.23816609382629395,0.2331480234861374,0.2867429554462433,0.3767107427120209,0.21047288179397583,0.4316827058792114,0.2024587094783783,0.2730468809604645,0.15832574665546417,0.37107351422309875,0.27010974287986755,0.39676710963249207,0.21655821800231934,0.3733293414115906,0.2822474241256714,0.24244987964630127,0.3952804505825043,0.2782627046108246,0.21309995651245117,0.35358619689941406,0.39626169204711914,0.16367103159427643,0.3341163396835327,0.2082461714744568,0.20258402824401855,0.26498666405677795,0.2871645987033844,0.37921425700187683,0.3320770859718323,0.3345738649368286,0.2695433497428894,0.38170766830444336,0.23507758975028992,0.22429798543453217,0.18029862642288208,0.23197701573371887,0.32419511675834656,0.15995337069034576
folk,0.286220908164978,0.2922513782978058,0.2596558630466461,0.16791477799415588,0.27985405921936035,0.12668168544769287,0.0942840501666069,0.42449378967285156,1.0,0.290115088224411,0.11986760050058365,0.33204829692840576,0.2833867371082306,0.4015580713748932,0.17790350317955017,0.23773688077926636,0.330473393201828,0.2491859346628189,0.1742473989725113,0.20643053948879242,0.2076675295829773,0.39961132407188416,0.4018300473690033,0.4119536578655243,0.30056241154670715,0.30209726095199585,0.1998412162065506,0.3386863172054291,0.3026673197746277,0.3981669247150421,0.2591858506202698,0.2599128186702728,0.3053777515888214,0.3659026324748993,0.36808693408966064,0.2534578740596771,0.41905343532562256,0.3293943405151367,0.4214155673980713,0.31882473826408386,0.3467499017715454,0.18961605429649353,0.42058998346328735,0.4064708948135376,0.27428919076919556,0.38602569699287415,0.2154708206653595,0.30765828490257263,0.25835517048835754,0.32822632789611816,0.17031341791152954,0.22701631486415863,0.2824494540691376,0.3288740813732147,0.3595270812511444,0.2941959798336029,0.3869830071926117,0.222075417637825,0.11988914012908936,0.3084474503993988,0.32547542452812195,0.19244465231895447,0.2532268166542053,0.22432132065296173,0.24914789199829102,0.3056360185146332,0.14160598814487457,0.2526624798774719,0.17852100729942322,0.056031256914138794,0.27354544401168823,0.13063789904117584,0.30622369050979614,0.32002928853034973,0.16910716891288757,0.18354101479053497,0.13348053395748138,0.2207518070936203,0.4010253846645355,0.22565780580043793,0.14834968745708466,0.27363499999046326,0.338474839925766,0.3441835045814514,0.17110809683799744,0.2540205121040344,0.18303708732128143,0.20221814513206482,0.4114226996898651,0.11208820343017578,0.2064840942621231,0.08707480877637863,0.2182762622833252,0.31478533148765564,0.16017888486385345,0.3197394013404846,0.3657139837741852,0.20440484583377838,0.19598938524723053,0.18639998137950897,0.18374021351337433,0.23015165328979492,0.21295157074928284,0.31933876872062683,0.3169357478618622,0.29326581954956055,0.26733267307281494,0.2965632975101471,0.20652103424072266,0.25663936138153076,0.33033323287963867,0.2443370372056961,0.14973238110542297,0.24670158326625824,0.09019993245601654,0.1309039443731308,0.18419907987117767,0.2203132063150406,0.25698283314704895,0.29253262281417847,0.39107102155685425,0.09536976367235184,0.2459939867258072,0.18082062900066376,0.20721274614334106,0.2432878017425537,0.33915629982948303,0.2397288978099823,0.3391346335411072,0.23316852748394012,0.3099592626094818,0.3777492642402649,0.19329170882701874,0.16692088544368744,0.30274486541748047,0.3163028657436371,0.18023529648780823,0.32582613825798035,0.27366337180137634,0.13782458007335663,0.1702505350112915,0.3548908531665802,0.3211327791213989,0.27472373843193054,0.21902811527252197,0.1722053587436676,0.34204113483428955,0.287609338760376,0.14375945925712585,0.08419205993413925,0.21655841171741486,0.37612077593803406,0.12890318036079407
