,politik,storfurstendöme,furstendöme,hertigdöme,finland,stat,finsk,finländsk,finne,finska,nation,folk,gräns,modern,nutida,ryss,ryska,kejsardöme,rike,författning,konstitution,grundlag,fred,sverige,svenska,dynastisk,social,kultur,ryssland,makt,representation,folkrepresentation,härskare,administrativ,styre,välde,regel,rättighet,monark,regent,suverän,provins,samhällelig,integritet,system,gränslinje,suveränitet,autonomi,krig,land,stånd,statsform,statsskick,samhällsform,regeringsform,regering,riksdag,parlament,lag,jämlikhet,liberal,kung,tsar,kejsare,senat,medborgare,invånare,demokrati,historia,koncept,begrepp,europeisk,universitet,sekel,århundrade,område,landområde,territorium,förändring,byta,historisk,swensk,intern,inre,inrikes,europa,diskutera,tidig,fråga,delta,ställning,status,bilda,form,gestalt,region,fördrag,del,skilja,dela,hertig,human,offentlig,allmän,retorik,retorisk,tid,skede,period,epok,era,omtvistad,tvistig,språk,tidstrogen,olik,annorlunda,stötta,stödja,protest,invändning,gensaga,arkiv,styresman,vetenskap,nyhetstidning,risk,historiker,publicera,samarbete,princip,medeltid,förbi,förra,mobilisering,nature,kynne,föreställning,åsikt,lokal,petersburg,akademi,samfund,alternativ,annan,skapa,artikel,paragraf,trakt,karelsk,medlem,gemensam,central,marskalk,ämbetsman,tjänsteman,officiell,myt,gudasaga,intresse,napoleon,förena,kombinera,jämförelse,general,förhandla,utverka,allmoge,karta,skandinavien,försvara,ekonomi,ekonomisk,finans,geografisk,samband,överenskommelse,valuta,sedel,mynt,slant,penning
politik,1.0,0.3071940541267395,0.31204918026924133,0.3265370726585388,0.30700334906578064,0.27438879013061523,0.18873685598373413,0.4266217350959778,0.20259450376033783,0.3118218183517456,0.3070899546146393,0.29815375804901123,0.3254881203174591,0.2342917025089264,0.21172098815441132,0.34933000802993774,0.25085610151290894,0.37160229682922363,0.2819870412349701,0.2667057514190674,0.3437258303165436,0.3770506978034973,0.45562654733657837,0.23933568596839905,0.14774425327777863,0.5359035730361938,0.4251403510570526,0.4335159957408905,0.37779101729393005,0.44978609681129456,0.36903321743011475,0.5289489030838013,0.4658101201057434,0.404488742351532,0.3112354874610901,0.3513515889644623,0.27862197160720825,0.2267419993877411,0.4243406355381012,0.3427542746067047,0.37587472796440125,0.23714579641819,0.44149476289749146,0.5258103013038635,0.372305303812027,0.3584040105342865,0.4459468126296997,0.4920561909675598,0.40419307351112366,0.3286830484867096,0.19841216504573822,0.45061299204826355,0.4562518298625946,0.48125743865966797,0.3157052993774414,0.5058510899543762,0.35320520401000977,0.4357815086841583,0.19336886703968048,0.47325068712234497,0.3854026794433594,0.26233649253845215,0.37660932540893555,0.3323003053665161,0.3127857744693756,0.2523286044597626,0.16467852890491486,0.5226446986198425,0.31183767318725586,0.21544569730758667,0.30026283860206604,0.36059245467185974,0.28789544105529785,0.226383775472641,0.2523081302642822,0.29202884435653687,0.3704342246055603,0.21083450317382812,0.22568011283874512,0.1964169442653656,0.25478193163871765,0.1672675460577011,0.38772833347320557,0.3042357861995697,0.26621973514556885,0.3060132563114166,0.2962678372859955,0.1634526401758194,0.3302856981754303,0.2730024456977844,0.2888626158237457,0.4363223612308502,0.21641865372657776,0.22080181539058685,0.19809328019618988,0.2310209423303604,0.34291350841522217,0.22066012024879456,0.23467867076396942,0.1590060293674469,0.19987307488918304,0.27456405758857727,0.24476970732212067,0.28156179189682007,0.42728859186172485,0.4179303050041199,0.12292295694351196,0.343660831451416,0.2667776346206665,0.3594801723957062,0.23916149139404297,0.21385589241981506,0.34300100803375244,0.3123721480369568,0.295796662569046,0.1883912980556488,0.22291064262390137,0.1570761501789093,0.21174214780330658,0.24892710149288177,0.2957223951816559,0.29386740922927856,0.1600850522518158,0.21511441469192505,0.42610812187194824,0.40960606932640076,0.22067131102085114,0.37480899691581726,0.2705395519733429,0.3649560511112213,0.4697074294090271,0.21975748240947723,0.2374594807624817,0.11624890565872192,0.3070945739746094,0.3528202772140503,0.32660776376724243,0.19609995186328888,0.3560355007648468,0.17151431739330292,0.30050334334373474,0.1751440018415451,0.2603491544723511,0.1917707920074463,0.1909017115831375,0.2825983762741089,0.28160738945007324,0.2652352452278137,0.10815616697072983,0.2839372158050537,0.1431444138288498,0.2130039930343628,0.12008895725011826,0.17812515795230865,0.29281917214393616,0.20349907875061035,0.23667745292186737,0.27695855498313904,0.29345372319221497,0.40303677320480347,0.2617911994457245,0.23290400207042694,0.18800872564315796,0.17552319169044495,0.2839459180831909,0.40086689591407776,0.2422299087047577,0.2053680717945099,0.15819348394870758,0.2752239406108856,0.30472010374069214,0.3085908591747284,0.3505554497241974,0.4159356653690338,0.3213864862918854,0.2214938849210739,0.3494308292865753,0.23708893358707428,0.13314050436019897,0.24074026942253113,0.15594372153282166,0.14743484556674957
storfurstendöme,0.3071940541267395,1.0,0.4432295858860016,0.4071587920188904,0.5538344383239746,0.23296557366847992,0.36847761273384094,0.40063053369522095,0.2360360324382782,0.2994610071182251,0.21414069831371307,0.24575041234493256,0.32235047221183777,0.1965797245502472,0.18856710195541382,0.36406826972961426,0.3253747522830963,0.38797980546951294,0.39441609382629395,0.34514084458351135,0.322055846452713,0.32730478048324585,0.19645336270332336,0.3416964113712311,0.17738451063632965,0.4040032625198364,0.2605420649051666,0.3348986506462097,0.4568037986755371,0.29791900515556335,0.23801444470882416,0.36880144476890564,0.43679115176200867,0.35295212268829346,0.21745434403419495,0.3587535619735718,0.1015101820230484,0.2931016981601715,0.43037697672843933,0.31701475381851196,0.3999558389186859,0.4346853196620941,0.3893304169178009,0.45371487736701965,0.19823721051216125,0.2912951111793518,0.44442465901374817,0.550718367099762,0.3643624186515808,0.3476465344429016,0.20986483991146088,0.3234284222126007,0.3962624669075012,0.30683180689811707,0.3509543538093567,0.3597996234893799,0.2861575186252594,0.2669391632080078,0.25743818283081055,0.43389958143234253,0.1877744197845459,0.2466142326593399,0.38739147782325745,0.3821103572845459,0.38688504695892334,0.18823057413101196,0.2951499819755554,0.2693246006965637,0.24838465452194214,0.1015717163681984,0.21897266805171967,0.28162115812301636,0.300491064786911,0.24773229658603668,0.29377925395965576,0.2960089445114136,0.4149959087371826,0.38442835211753845,0.2445037066936493,0.05214259773492813,0.2767640948295593,0.16866004467010498,0.34208595752716064,0.13451184332370758,0.31235143542289734,0.2696486711502075,0.21131041646003723,0.07855402678251266,0.19977310299873352,0.14123119413852692,0.18434886634349823,0.28810274600982666,0.22403259575366974,0.16568663716316223,0.1787557750940323,0.18313327431678772,0.39950862526893616,0.20293079316616058,0.10494644194841385,0.14933180809020996,0.253615140914917,0.09118394553661346,0.1346380114555359,0.2141675055027008,0.2693595886230469,0.2843668460845947,0.2119462788105011,0.3188963830471039,0.306583046913147,0.3810417354106903,0.1618049293756485,0.27991315722465515,0.29971539974212646,0.301763653755188,0.23141033947467804,0.18634188175201416,0.24480675160884857,0.08737722784280777,0.09648416936397552,0.18455897271633148,0.20301325619220734,0.2416757494211197,0.24928049743175507,0.3375609815120697,0.2697402536869049,0.2890399098396301,0.20451968908309937,0.30939310789108276,0.3525313138961792,0.24734516441822052,0.2515493631362915,0.28208568692207336,0.07453331351280212,0.20085026323795319,0.31383758783340454,0.28267109394073486,0.2553038001060486,0.16996712982654572,0.21887141466140747,0.15227653086185455,0.35923340916633606,0.2176019698381424,0.2649708092212677,0.1284283697605133,0.11401434242725372,0.294468492269516,0.2347303032875061,0.26471126079559326,0.22213225066661835,0.3344663083553314,0.2779676020145416,0.2377651184797287,0.1843777894973755,0.18212375044822693,0.30387118458747864,0.22786839306354523,0.33815717697143555,0.3301248848438263,0.33180123567581177,0.2825769782066345,0.27234646677970886,0.21074196696281433,0.11911267042160034,0.210124671459198,0.24534471333026886,0.33048227429389954,0.26753923296928406,0.2750636041164398,0.269552081823349,0.3059931993484497,0.20049747824668884,0.17887790501117706,0.23927325010299683,0.3680066764354706,0.24563030898571014,0.22912412881851196,0.26707515120506287,0.13957107067108154,0.1590154469013214,0.2100069224834442,0.05324036628007889,0.12465495616197586
furstendöme,0.31204918026924133,0.4432295858860016,1.0,0.5361950993537903,0.3075062036514282,0.21834546327590942,0.2006821483373642,0.3153972625732422,0.14031805098056793,0.23680411279201508,0.2139970362186432,0.141806960105896,0.27110394835472107,0.14412526786327362,0.1283087283372879,0.34610337018966675,0.29833105206489563,0.4223860204219818,0.3077443242073059,0.22225259244441986,0.3213610351085663,0.14777140319347382,0.2664167881011963,0.2430116832256317,0.03680548444390297,0.4174467623233795,0.2514832019805908,0.23095907270908356,0.41259828209877014,0.3269535303115845,0.22711461782455444,0.36055687069892883,0.4392409920692444,0.2902086675167084,0.219496488571167,0.36530834436416626,0.19719018042087555,0.27990254759788513,0.33557525277137756,0.36832690238952637,0.4284602701663971,0.4423077404499054,0.27954715490341187,0.5164825916290283,0.18030482530593872,0.3285088539123535,0.5113663077354431,0.5076578259468079,0.2813774645328522,0.35915127396583557,0.2934296727180481,0.3703724145889282,0.2687259912490845,0.2674519419670105,0.21432043612003326,0.29856443405151367,0.1655142605304718,0.3667174279689789,0.11851812899112701,0.34402409195899963,0.10048159956932068,0.25895825028419495,0.414013534784317,0.37574565410614014,0.29223766922950745,0.2164372205734253,0.25178563594818115,0.29131707549095154,0.1853552907705307,0.017783794552087784,0.16964197158813477,0.3369758129119873,0.1993759721517563,0.16088581085205078,0.22115252912044525,0.20994539558887482,0.5331244468688965,0.4736959636211395,0.15964417159557343,0.1472965031862259,0.2590958774089813,0.04936494678258896,0.29012492299079895,0.28251913189888,0.22709746658802032,0.36398038268089294,0.12584882974624634,0.055487729609012604,0.21238836646080017,0.1774388700723648,0.22454223036766052,0.34506458044052124,0.14994600415229797,0.14729434251785278,0.27200183272361755,0.18261028826236725,0.38323280215263367,0.19739094376564026,0.16247440874576569,0.12798020243644714,0.3532602787017822,0.09515007585287094,0.04580187052488327,0.06480007618665695,0.260427325963974,0.2348107248544693,0.14117774367332458,0.20486542582511902,0.20461677014827728,0.28964439034461975,0.10906269401311874,0.2566581964492798,0.26628774404525757,0.21976129710674286,0.2769066095352173,0.04206211492419243,0.22893695533275604,0.11026400327682495,0.08888562768697739,0.1833481639623642,0.15182340145111084,0.12863704562187195,0.16254915297031403,0.22247330844402313,0.21167367696762085,0.28223347663879395,0.17977584898471832,0.20952948927879333,0.1649903506040573,0.1613755226135254,0.2256123572587967,0.12573841214179993,0.19381007552146912,0.09381334483623505,0.34556230902671814,0.20832926034927368,0.1841566413640976,0.14250721037387848,0.17172788083553314,0.23635819554328918,0.3134676218032837,0.023271702229976654,0.15549857914447784,0.11471208930015564,0.11197365075349808,0.23754847049713135,0.20406202971935272,0.18058229982852936,0.23108038306236267,0.3195701539516449,0.22608768939971924,0.2023516297340393,0.16883611679077148,0.2822338342666626,0.3135012090206146,0.25174471735954285,0.20744256675243378,0.2289765328168869,0.27943795919418335,0.2841893434524536,0.35774946212768555,0.1882283240556717,0.1799539476633072,0.2297726571559906,0.2856141924858093,0.2735108435153961,0.2787240147590637,0.12399433553218842,0.12047836184501648,0.24428866803646088,0.2287648767232895,0.20137466490268707,0.26054325699806213,0.2536951005458832,0.2997509837150574,0.09281499683856964,0.2962813675403595,0.217754065990448,0.12982690334320068,0.1711190938949585,0.11783520877361298,0.26024141907691956
hertigdöme,0.3265370726585388,0.4071587920188904,0.5361950993537903,1.0,0.32575735449790955,0.2467358112335205,0.12429854273796082,0.25122368335723877,0.11432769149541855,0.21682263910770416,0.21697711944580078,0.15815913677215576,0.24767601490020752,0.14388583600521088,0.2076958268880844,0.30619245767593384,0.20436877012252808,0.4257701337337494,0.27025336027145386,0.23485077917575836,0.2927916944026947,0.23737435042858124,0.2844027876853943,0.22573396563529968,0.03811530023813248,0.40578266978263855,0.2699759304523468,0.24547283351421356,0.33168134093284607,0.2735634744167328,0.18787114322185516,0.3875138461589813,0.407135933637619,0.2902761697769165,0.18325094878673553,0.30775097012519836,0.09821020066738129,0.2257290631532669,0.2646559178829193,0.3516526222229004,0.38351401686668396,0.42402708530426025,0.27203893661499023,0.5062371492385864,0.13591963052749634,0.34061551094055176,0.48361459374427795,0.49840742349624634,0.29724156856536865,0.2549119293689728,0.15275165438652039,0.3599138557910919,0.30062830448150635,0.21303173899650574,0.22924746572971344,0.3599437475204468,0.25713619589805603,0.3372565805912018,0.08337640762329102,0.3153879940509796,0.213650181889534,0.30144158005714417,0.3355105519294739,0.33709701895713806,0.2584165632724762,0.20143920183181763,0.19665978848934174,0.34540462493896484,0.1499544382095337,0.06769541651010513,0.17356154322624207,0.2712440490722656,0.23756273090839386,0.2091236114501953,0.21313227713108063,0.21184642612934113,0.5220222473144531,0.40370434522628784,0.13073067367076874,0.13091295957565308,0.295505553483963,0.1309303194284439,0.24387851357460022,0.17169709503650665,0.17349593341350555,0.25265246629714966,0.18590469658374786,0.05098188668489456,0.1778591275215149,0.17228053510189056,0.15058933198451996,0.36997154355049133,0.1472545564174652,0.07449737936258316,0.1864394098520279,0.10950622707605362,0.3910158574581146,0.094149649143219,0.1362389475107193,0.15584111213684082,0.3753540515899658,0.09617428481578827,0.14501863718032837,0.17642676830291748,0.13090653717517853,0.19244974851608276,0.15258848667144775,0.194430410861969,0.1113458126783371,0.2495218962430954,0.12830299139022827,0.2264021784067154,0.24644896388053894,0.18164107203483582,0.17465125024318695,0.04395921528339386,0.10308688133955002,0.10408759117126465,0.11492197215557098,0.19978879392147064,0.16661912202835083,0.14664851129055023,0.2304987907409668,0.17565014958381653,0.2008884996175766,0.2144690304994583,0.1849762201309204,0.2904091775417328,0.17343081533908844,0.23162399232387543,0.26272693276405334,0.15796257555484772,0.17820866405963898,0.10382018238306046,0.28564661741256714,0.16091790795326233,0.13655985891819,0.000869829673320055,0.18076422810554504,0.11327721178531647,0.277668297290802,0.14010581374168396,0.15408855676651,0.12380911409854889,0.08253325521945953,0.25121739506721497,0.05959799140691757,0.15159982442855835,0.22186924517154694,0.23846618831157684,0.1643371880054474,0.1629490852355957,0.20698274672031403,0.20377106964588165,0.2974960207939148,0.16573336720466614,0.1754550337791443,0.2355324923992157,0.24321602284908295,0.24954332411289215,0.34225594997406006,0.18492524325847626,0.08392634987831116,0.09624841064214706,0.21611499786376953,0.3039993345737457,0.23891645669937134,0.1672821342945099,0.09666471183300018,0.21652691066265106,0.20699332654476166,0.11038539558649063,0.20283524692058563,0.30292946100234985,0.24337773025035858,0.13859328627586365,0.3460012376308441,0.14983847737312317,0.07943230867385864,0.19614921510219574,0.08048522472381592,0.22507329285144806
finland,0.30700334906578064,0.5538344383239746,0.3075062036514282,0.32575735449790955,0.9999999403953552,0.19501253962516785,0.44754302501678467,0.36256200075149536,0.33322831988334656,0.3740946650505066,0.2512245178222656,0.2839205265045166,0.28509873151779175,0.20695821940898895,0.16747277975082397,0.39627715945243835,0.37545302510261536,0.30942341685295105,0.31959980726242065,0.2685966491699219,0.27138200402259827,0.31600111722946167,0.21572336554527283,0.42923998832702637,0.20096047222614288,0.341082900762558,0.2561088800430298,0.33072641491889954,0.5559989809989929,0.2597222924232483,0.24336016178131104,0.35981670022010803,0.3482736349105835,0.35949644446372986,0.16426700353622437,0.3083079755306244,0.15237586200237274,0.28508710861206055,0.38090914487838745,0.23409928381443024,0.35265785455703735,0.3434329926967621,0.320891410112381,0.3327862620353699,0.18176889419555664,0.2532869279384613,0.3480997085571289,0.4286631643772125,0.344245046377182,0.40480226278305054,0.19256499409675598,0.253617525100708,0.35649093985557556,0.31016114354133606,0.2740117609500885,0.30694088339805603,0.19721195101737976,0.17597533762454987,0.2037414014339447,0.39394524693489075,0.13958750665187836,0.2528150677680969,0.4010714888572693,0.37390661239624023,0.37981978058815,0.29022449254989624,0.17358814179897308,0.2746751308441162,0.2550577223300934,0.14694732427597046,0.2471739500761032,0.35749107599258423,0.29250597953796387,0.2784409523010254,0.2999057173728943,0.15376561880111694,0.269109845161438,0.2171030342578888,0.2120143324136734,0.11967018246650696,0.29729026556015015,0.21465018391609192,0.22475065290927887,0.14812695980072021,0.23494482040405273,0.3786522448062897,0.18352010846138,0.1409255415201187,0.17124685645103455,0.19862797856330872,0.18213556706905365,0.2057446986436844,0.09661689400672913,0.174396812915802,0.16278454661369324,0.20722003281116486,0.2395261526107788,0.11888600885868073,0.1343829482793808,0.11973929405212402,0.18595020473003387,0.17486827075481415,0.19855646789073944,0.17796389758586884,0.27267393469810486,0.21918684244155884,0.25820839405059814,0.24494081735610962,0.17409907281398773,0.29738011956214905,0.13013632595539093,0.1628139615058899,0.22078904509544373,0.32251840829849243,0.22944964468479156,0.17397257685661316,0.20465798676013947,0.0576290525496006,0.11978399753570557,0.20230978727340698,0.16799643635749817,0.2241852581501007,0.17293162643909454,0.25315243005752563,0.2063216269016266,0.2559971213340759,0.2352764904499054,0.23457522690296173,0.3023082911968231,0.2000599056482315,0.22337554395198822,0.2765807509422302,0.17332907021045685,0.19895793497562408,0.2555350065231323,0.22334371507167816,0.2993777394294739,0.23353585600852966,0.24370533227920532,0.17214879393577576,0.4351261258125305,0.17078422009944916,0.1745515614748001,0.06572474539279938,0.12011610716581345,0.2768910825252533,0.20821945369243622,0.22979725897312164,0.2569289207458496,0.2919129729270935,0.1592731773853302,0.21397846937179565,0.11516227573156357,0.13476954400539398,0.29419854283332825,0.2557181119918823,0.2885088324546814,0.30471208691596985,0.25909319519996643,0.1854676604270935,0.19896553456783295,0.0993698313832283,0.09506956487894058,0.10404728353023529,0.22229422628879547,0.1597982794046402,0.2111596018075943,0.3131140172481537,0.21007321774959564,0.4091470241546631,0.24037840962409973,0.23219433426856995,0.2638411223888397,0.2499251514673233,0.24138972163200378,0.1579866111278534,0.21553924679756165,0.06682819128036499,0.1363862007856369,0.15215469896793365,0.05333364009857178,0.11096393316984177
stat,0.27438879013061523,0.23296557366847992,0.21834546327590942,0.2467358112335205,0.19501253962516785,1.0,0.1872478574514389,0.30877962708473206,0.0656164214015007,0.20436710119247437,0.2762216329574585,0.32464486360549927,0.17435471713542938,0.1691020280122757,0.14240188896656036,0.19012980163097382,0.1847171038389206,0.24882319569587708,0.2598491609096527,0.2515241205692291,0.31540003418922424,0.21683330833911896,0.271039754152298,0.24741165339946747,0.1880236715078354,0.2710668742656708,0.23123633861541748,0.2664426267147064,0.2955082058906555,0.3215428590774536,0.2512112855911255,0.3587193191051483,0.33968791365623474,0.26550528407096863,0.18061278760433197,0.24747639894485474,0.11310327053070068,0.24013932049274445,0.235761821269989,0.1976298987865448,0.31046122312545776,0.33227163553237915,0.29492539167404175,0.36183345317840576,0.2430862933397293,0.23345975577831268,0.34086281061172485,0.33283600211143494,0.2750675082206726,0.32862165570259094,0.1844133734703064,0.29811063408851624,0.32625651359558105,0.3032083511352539,0.30629226565361023,0.38796478509902954,0.25860923528671265,0.22492042183876038,0.28151020407676697,0.2947395443916321,0.18413449823856354,0.22597676515579224,0.1449393481016159,0.18258768320083618,0.2612602412700653,0.34194058179855347,0.2528447210788727,0.2847244143486023,0.24140356481075287,0.07702981680631638,0.11310185492038727,0.32899606227874756,0.2911831736564636,0.18834538757801056,0.22135482728481293,0.33852964639663696,0.36478734016418457,0.31295812129974365,0.18405652046203613,0.11128345876932144,0.2204720675945282,0.13380666077136993,0.2460223138332367,0.1447703093290329,0.1785110980272293,0.302870512008667,0.15989883244037628,0.15398691594600677,0.23123854398727417,0.14024138450622559,0.19896413385868073,0.25877395272254944,0.09152847528457642,0.12778986990451813,0.10102882236242294,0.1000656858086586,0.24525558948516846,0.25672703981399536,0.1372756063938141,0.12674978375434875,0.1329856663942337,0.20628762245178223,0.1937040239572525,0.25383099913597107,0.1564793735742569,0.19869394600391388,0.23791632056236267,0.21704106032848358,0.2559654116630554,0.17894324660301208,0.1571141928434372,0.2836896479129791,0.29453033208847046,0.1876421421766281,0.2006761133670807,0.20752489566802979,0.24827975034713745,0.13076555728912354,0.2186248004436493,0.14734405279159546,0.2395697832107544,0.1798289567232132,0.22963163256645203,0.25430941581726074,0.26709702610969543,0.25563669204711914,0.24089811742305756,0.21679197251796722,0.17978528141975403,0.27546536922454834,0.2897706925868988,0.14070306718349457,0.1257905513048172,0.20530687272548676,0.2129712551832199,0.16440357267856598,0.16981641948223114,0.11510676890611649,0.18252058327198029,0.1789739727973938,0.18637578189373016,0.29017624258995056,0.20034310221672058,0.1564202606678009,0.22193877398967743,0.2604030668735504,0.0515684075653553,0.18003930151462555,0.15178199112415314,0.3810172379016876,0.2641174793243408,0.20153477787971497,0.2509497404098511,0.1389220803976059,0.3544366657733917,0.3239787220954895,0.2588184177875519,0.19376224279403687,0.10957413166761398,0.21905392408370972,0.12069354951381683,0.15109160542488098,0.2065986692905426,0.26760101318359375,0.18661805987358093,0.2555032968521118,0.2646719217300415,0.1371764987707138,0.23844417929649353,0.23034702241420746,0.229000523686409,0.24195435643196106,0.31222471594810486,0.28048521280288696,0.1851651817560196,0.1390863060951233,0.3485625684261322,0.2043796181678772,0.12591999769210815,0.20693698525428772,0.17871727049350739,0.20707501471042633
finsk,0.18873685598373413,0.36847761273384094,0.2006821483373642,0.12429854273796082,0.44754302501678467,0.1872478574514389,1.0,0.4261007606983185,0.3623713254928589,0.4440177083015442,0.2179252803325653,0.3081352710723877,0.15801569819450378,0.2113131433725357,0.2255345582962036,0.3423830568790436,0.46869736909866333,0.292138934135437,0.14652739465236664,0.14246919751167297,0.20931634306907654,0.19952978193759918,0.1576099693775177,0.24565714597702026,0.39746782183647156,0.2562114894390106,0.20513299107551575,0.2530885636806488,0.29565033316612244,0.1579207181930542,0.16820408403873444,0.22448617219924927,0.2789289951324463,0.21637769043445587,0.09027337282896042,0.18398374319076538,0.12294422835111618,0.22150219976902008,0.2957695424556732,0.17717960476875305,0.21921367943286896,0.18828347325325012,0.23815572261810303,0.1692037582397461,0.1302957981824875,0.20241330564022064,0.14945708215236664,0.26156648993492126,0.23696820437908173,0.2855146527290344,0.22921960055828094,0.21579505503177643,0.22430747747421265,0.2474740445613861,0.2042853683233261,0.30030557513237,0.16872213780879974,0.11223842948675156,0.26044219732284546,0.38192832469940186,0.11644197255373001,0.18316134810447693,0.304443895816803,0.2300948202610016,0.3276195228099823,0.2746134400367737,0.18184794485569,0.15966127812862396,0.24266692996025085,0.1325252503156662,0.1971481293439865,0.2756212055683136,0.22094979882240295,0.2075052708387375,0.1996840536594391,0.19420023262500763,0.16311326622962952,0.1777213215827942,0.16299259662628174,0.07992029935121536,0.2672155797481537,0.2954670786857605,0.23965851962566376,0.13500645756721497,0.1555873155593872,0.21949781477451324,0.13806027173995972,0.15802469849586487,0.18437710404396057,0.1681564599275589,0.15606270730495453,0.1521085947751999,0.1530395895242691,0.20840813219547272,0.2327897995710373,0.226136714220047,0.15070593357086182,0.2332710474729538,0.15035641193389893,0.1650167554616928,0.06982937455177307,0.11879844963550568,0.18197748064994812,0.18635901808738708,0.33022648096084595,0.2805482745170593,0.23312954604625702,0.24942544102668762,0.1792300045490265,0.2691311836242676,0.11819972842931747,0.17490792274475098,0.1818799525499344,0.3472226858139038,0.31113794445991516,0.16774438321590424,0.14402931928634644,0.07322028279304504,0.15335576236248016,0.1752527803182602,0.1947862207889557,0.198293536901474,0.15085181593894958,0.16554750502109528,0.15539224445819855,0.17499101161956787,0.24984392523765564,0.2922937572002411,0.16733458638191223,0.24782797694206238,0.2283841073513031,0.23221488296985626,0.18911315500736237,0.1519746035337448,0.23309911787509918,0.288328617811203,0.38130420446395874,0.20257490873336792,0.2204441875219345,0.21026994287967682,0.3395625948905945,0.1643334925174713,0.08096083998680115,0.11842401325702667,0.2497735470533371,0.2412465363740921,0.131710022687912,0.19013537466526031,0.19027867913246155,0.4426688849925995,0.23171262443065643,0.21578873693943024,0.14345237612724304,0.12401532381772995,0.23793381452560425,0.27204158902168274,0.19945445656776428,0.2470574676990509,0.34063443541526794,0.23183120787143707,0.16600599884986877,0.08667062968015671,0.20194999873638153,0.11893761903047562,0.16163857281208038,0.1790580451488495,0.20472338795661926,0.24698470532894135,0.13362039625644684,0.2041563242673874,0.23449240624904633,0.23507201671600342,0.20669473707675934,0.18452037870883942,0.22770656645298004,0.10571255534887314,0.1523350328207016,0.10450176894664764,0.16744841635227203,0.16499508917331696,0.18086712062358856,0.0919165164232254
finländsk,0.4266217350959778,0.40063053369522095,0.3153972625732422,0.25122368335723877,0.36256200075149536,0.30877962708473206,0.4261007606983185,1.0,0.2887430191040039,0.3924272656440735,0.284742534160614,0.3132922947406769,0.303859680891037,0.3557172119617462,0.24106085300445557,0.44545379281044006,0.4105825126171112,0.3880078196525574,0.27632614970207214,0.23566581308841705,0.2945431172847748,0.21653392910957336,0.2534618675708771,0.3138093054294586,0.3260401785373688,0.4625576138496399,0.3816606402397156,0.3128192722797394,0.33142855763435364,0.33308055996894836,0.3948190212249756,0.3877752423286438,0.497416228055954,0.39976635575294495,0.27549228072166443,0.3295024633407593,0.18925239145755768,0.25644364953041077,0.3421025276184082,0.3007466793060303,0.3611561059951782,0.3983432650566101,0.3678629398345947,0.3596948981285095,0.3030014932155609,0.3373350203037262,0.2897358238697052,0.4466659426689148,0.2963397800922394,0.338790625333786,0.2506212890148163,0.28486186265945435,0.32135576009750366,0.38880079984664917,0.21340350806713104,0.45366325974464417,0.36542874574661255,0.3057551085948944,0.24934914708137512,0.4098653793334961,0.31555798649787903,0.26652950048446655,0.3677215278148651,0.3676881492137909,0.3406849205493927,0.27116531133651733,0.22656305134296417,0.3705819845199585,0.28351375460624695,0.20685511827468872,0.28432607650756836,0.37165069580078125,0.2754138708114624,0.2390754669904709,0.2915356755256653,0.3643571138381958,0.3254374861717224,0.2327747493982315,0.29439136385917664,0.2226199507713318,0.3118818402290344,0.23399268090724945,0.416659951210022,0.20882932841777802,0.2026580274105072,0.3115004003047943,0.3077934980392456,0.22863847017288208,0.3105921745300293,0.3117729127407074,0.36091935634613037,0.2946915030479431,0.3577519357204437,0.26973757147789,0.25899538397789,0.23576200008392334,0.2673339247703552,0.3670422434806824,0.27616506814956665,0.2276214361190796,0.3189929723739624,0.3030534088611603,0.262414813041687,0.32594284415245056,0.4688952565193176,0.5139966011047363,0.28688347339630127,0.3452571630477905,0.2761053740978241,0.33039259910583496,0.23178730905056,0.28178784251213074,0.2774063050746918,0.3021624982357025,0.5174190998077393,0.3373122811317444,0.3182251453399658,0.25641363859176636,0.30941084027290344,0.32501453161239624,0.33136701583862305,0.37392526865005493,0.266091525554657,0.36942628026008606,0.30339956283569336,0.44792303442955017,0.31308871507644653,0.3655911684036255,0.31042546033859253,0.3572063446044922,0.3945904076099396,0.24251562356948853,0.2419126331806183,0.2717396914958954,0.3905498683452606,0.5033530592918396,0.4310959279537201,0.32779863476753235,0.3810749053955078,0.30492210388183594,0.3896014094352722,0.28870537877082825,0.24031871557235718,0.22923140227794647,0.28667542338371277,0.31933000683784485,0.314786434173584,0.24961118400096893,0.22492040693759918,0.52867192029953,0.35271286964416504,0.2284122109413147,0.26598963141441345,0.3397265374660492,0.35588887333869934,0.3307648301124573,0.36925408244132996,0.24676650762557983,0.32975271344184875,0.42669686675071716,0.2529468536376953,0.29391923546791077,0.30128243565559387,0.29209640622138977,0.37187063694000244,0.3677055239677429,0.3620215058326721,0.30228763818740845,0.22016681730747223,0.28780925273895264,0.39782753586769104,0.328233927488327,0.39146730303764343,0.36563876271247864,0.3352755904197693,0.2757057845592499,0.3492012321949005,0.22994478046894073,0.19337168335914612,0.23292985558509827,0.2207665592432022,0.2106807976961136
