,folk,land,del,tid,förra,annan
folk,1.0,0.23219987750053406,0.17988862097263336,0.10041217505931854,0.24051673710346222,0.18626925349235535
land,0.23219987750053406,1.0,0.25294360518455505,0.43614524602890015,0.3491520583629608,0.2027953863143921
del,0.17988862097263336,0.25294360518455505,1.0,0.2867148220539093,0.20371079444885254,0.15812480449676514
tid,0.10041217505931854,0.43614524602890015,0.2867148220539093,1.0000001192092896,0.3853335380554199,0.1896674484014511
förra,0.24051673710346222,0.3491520583629608,0.20371079444885254,0.3853335380554199,1.0,0.39366164803504944
annan,0.18626925349235535,0.2027953863143921,0.15812480449676514,0.1896674484014511,0.39366164803504944,1.0
